,,,,,,,,,,,a,b
0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,,0.333333333,1
0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,,0.333333333,2
0.793103448,0.793103448,0.793103448,0.793103448,0.793103448,0.793103448,0.793103448,0.793103448,0.793103448,0.793103448,,0.793103448,3
0.793103448,0.793103448,0.793103448,0.793103448,0.793103448,0.793103448,0.793103448,0.793103448,0.793103448,0.793103448,,0.793103448,4
0.793103448,0.793103448,0.793103448,0.793103448,0.793103448,0.793103448,0.793103448,0.793103448,0.793103448,0.793103448,,0.793103448,5
0.893967093,0.893967093,0.893967093,0.893967093,0.893967093,0.793103448,0.893967093,0.893967093,0.893967093,0.893967093,,0.883880729,6
0.893967093,0.893967093,0.893967093,0.893967093,0.893967093,0.793103448,0.893967093,0.893967093,0.893967093,0.893967093,,0.883880729,7
0.893967093,0.893967093,0.893967093,0.893967093,0.893967093,0.893967093,0.893967093,0.893967093,0.893967093,0.893967093,,0.893967093,8
0.90421154,0.90421154,0.90421154,0.90421154,0.90421154,0.893967093,0.90421154,0.90421154,0.90421154,0.90421154,,0.903187095,9
0.90421154,0.90421154,0.90421154,0.90421154,0.90421154,0.893967093,0.90421154,0.90421154,0.90421154,0.90421154,,0.903187095,10
0.90421154,0.90421154,0.90421154,0.90421154,0.90421154,0.90421154,0.90421154,0.90421154,0.90421154,0.90421154,,0.90421154,11
0.90421154,0.905142378,0.905142378,0.905142378,0.905142378,0.90421154,0.905142378,0.905142378,0.905142378,0.905142378,,0.90495621,12
0.90421154,0.905142378,0.905142378,0.905142378,0.905142378,0.90421154,0.905142378,0.905142378,0.905142378,0.905142378,,0.90495621,13
0.90421154,0.905142378,0.905142378,0.905142378,0.905142378,0.905142378,0.905142378,0.905142378,0.905142378,0.905142378,,0.905049294,14
0.90421154,0.905142378,0.90522606,0.905142378,0.90522606,0.905142378,0.90522606,0.90522606,0.90522606,0.90522606,,0.905099504,15
0.905142378,0.905142378,0.90522606,0.905142378,0.90522606,0.905142378,0.90522606,0.90522606,0.90522606,0.90522606,,0.905192587,16
0.905142378,0.90522606,0.90522606,0.90522606,0.90522606,0.90522606,0.90522606,0.90522606,0.90522606,0.90522606,,0.905217692,17
0.905142378,0.90522606,0.905233576,0.90522606,0.905233576,0.90522606,0.905233576,0.905233576,0.905233576,0.905233576,,0.905222202,18
0.905142378,0.90522606,0.905233576,0.90522606,0.905233576,0.90522606,0.905233576,0.905233576,0.905233576,0.905233576,,0.905222202,19
0.905142378,0.905233576,0.905233576,0.90522606,0.905233576,0.905233576,0.905233576,0.905233576,0.905233576,0.905233576,,0.905223705,20
0.90522606,0.905233576,0.905233576,0.90522606,0.905234251,0.905233576,0.905234251,0.905234251,0.905234251,0.905234251,,0.905232411,21
0.90522606,0.905233576,0.905233576,0.905233576,0.905234251,0.905233576,0.905234251,0.905234251,0.905234251,0.905234251,,0.905233162,22
0.90522606,0.905234251,0.905234251,0.905233576,0.905234251,0.905234251,0.905234251,0.905234251,0.905234251,0.905234251,,0.905233365,23
0.905233576,0.905234251,0.905234251,0.905233576,0.905234251,0.905234251,0.905234251,0.905234312,0.905234312,0.905234312,,0.905234134,24
0.905233576,0.905234251,0.905234251,0.905234251,0.905234251,0.905234251,0.905234251,0.905234312,0.905234312,0.905234312,,0.905234202,25
0.905233576,0.905234251,0.905234312,0.905234251,0.905234312,0.905234312,0.905234312,0.905234312,0.905234312,0.905234312,,0.905234226,26
0.905234251,0.905234251,0.905234312,0.905234251,0.905234312,0.905234312,0.905234312,0.905234317,0.905234312,0.905234312,,0.905234294,27
0.905234251,0.905234312,0.905234312,0.905234312,0.905234312,0.905234312,0.905234312,0.905234317,0.905234312,0.905234312,,0.905234306,28
0.905234251,0.905234312,0.905234317,0.905234312,0.905234317,0.905234312,0.905234317,0.905234317,0.905234317,0.905234317,,0.905234309,29
0.905234312,0.905234312,0.905234317,0.905234312,0.905234317,0.905234312,0.905234317,0.905234318,0.905234317,0.905234317,,0.905234315,30
0.905234312,0.905234317,0.905234317,0.905234317,0.905234317,0.905234317,0.905234317,0.905234318,0.905234317,0.905234317,,0.905234317,31
0.905234312,0.905234317,0.905234318,0.905234317,0.905234318,0.905234317,0.905234318,0.905234318,0.905234318,0.905234318,,0.905234317,32
0.905234317,0.905234317,0.905234318,0.905234317,0.905234318,0.905234317,0.905234318,0.905234318,0.905234318,0.905234318,,0.905234318,33
0.905234317,0.905234317,0.905234318,0.905234317,0.905234318,0.905234318,0.905234318,0.905234318,0.905234318,0.905234318,,0.905234318,34
0.905234317,0.905234317,0.253314826,0.905234317,0.905234318,0.905234318,0.253314826,0.253314826,0.253314826,0.253314826,,0.579274572,35
0.253314825,0.253314825,0.253314826,0.905234317,0.905234318,0.905234318,0.253314826,0.253314826,0.253314826,0.253314826,,0.448890673,36
0.253314825,0.253314825,0.077715736,0.905234317,0.905234318,0.253314826,0.077715736,0.077715736,0.077715736,0.077715736,,0.295899179,37
0.077715736,0.253314825,0.077715736,0.905234317,0.253314826,0.253314826,0.077715736,0.077715736,0.077715736,0.077715736,,0.213147321,38
0.077715736,0.253314825,0.077715736,0.253314825,0.253314826,0.077715736,0.077715736,0.077715736,0.077715736,0.077715736,,0.130395463,39
0.050273057,0.253314825,0.077715736,0.253314825,0.253314826,0.077715736,0.077715736,0.077715736,0.077715736,0.077715736,,0.127651195,40
0.050273057,0.077715736,0.077715736,0.077715736,0.253314826,0.050273057,0.077715736,0.077715736,0.077715736,0.077715736,,0.089787109,41
0.047643828,0.077715736,0.050273057,0.077715736,0.253314826,0.050273057,0.077715736,0.077715736,0.050273057,0.077715736,,0.08403565,42
0.047643828,0.077715736,0.050273057,0.077715736,0.253314826,0.050273057,0.077715736,0.077715736,0.050273057,0.077715736,,0.08403565,43
0.047643828,0.077715736,0.050273057,0.077715736,0.253314826,0.050273057,0.077715736,0.077715736,0.050273057,0.077715736,,0.08403565,44
0.047643828,0.077715736,0.050273057,0.077715736,0.253314826,0.050273057,0.077715736,0.077715736,0.050273057,0.077715736,,0.08403565,45
0.047643828,0.077715736,0.050273057,0.077715736,0.253314826,0.050273057,0.077715736,0.077715736,0.050273057,0.077715736,,0.08403565,46
0.047643828,0.077715736,0.050273057,0.077715736,0.253314826,0.050273057,0.077715736,0.077715736,0.050273057,0.077715736,,0.08403565,47
0.047643828,0.077715736,0.050273057,0.077715736,0.253314826,0.050273057,0.077715736,0.077715736,0.050273057,0.077715736,,0.08403565,48
0.047643828,0.050273057,0.050273057,0.077715736,0.253314826,0.050273057,0.077715736,0.077715736,0.050273057,0.077715736,,0.081291382,49
0.047643828,0.050273057,0.047643828,0.077715736,0.253314826,0.050273057,0.077715736,0.077715736,0.050273057,0.077715736,,0.081028459,50
0.047643828,0.050273057,0.047643828,0.077715736,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.078284191,51
0.047643828,0.050273057,0.047643828,0.077715736,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.078284191,52
0.047643828,0.050273057,0.047643828,0.077715736,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.078284191,53
0.047643828,0.050273057,0.047643828,0.077715736,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.078284191,54
0.047643828,0.050273057,0.047643828,0.077715736,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.078284191,55
0.047643828,0.050273057,0.047643828,0.077715736,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.078284191,56
0.047643828,0.050273057,0.047643828,0.077715736,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.078284191,57
0.047643828,0.050273057,0.047643828,0.077715736,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.078284191,58
0.047643828,0.050273057,0.047643828,0.077715736,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.078284191,59
0.047643828,0.050273057,0.047643828,0.077715736,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.078284191,60
0.047643828,0.050273057,0.047643828,0.077715736,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.078284191,61
0.047643828,0.050273057,0.047643828,0.077715736,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.078284191,62
0.047643828,0.050273057,0.047643828,0.077715736,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.078284191,63
0.047643828,0.050273057,0.047643828,0.077715736,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.078284191,64
0.047643828,0.050273057,0.047643828,0.077715736,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.078284191,65
0.047643828,0.050273057,0.047643828,0.077715736,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.078284191,66
0.047643828,0.050273057,0.047643828,0.050273057,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.075539924,67
0.047643828,0.050273057,0.047643828,0.050273057,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.075539924,68
0.047643828,0.050273057,0.047643828,0.050273057,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.075539924,69
0.047643828,0.050273057,0.047643828,0.050273057,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.075539924,70
0.047643828,0.050273057,0.047643828,0.050273057,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.075539924,71
0.047643828,0.050273057,0.047643828,0.050273057,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.075539924,72
0.047643828,0.050273057,0.047643828,0.050273057,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.075539924,73
0.047643828,0.050273057,0.047643828,0.050273057,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.075539924,74
0.047643828,0.050273057,0.047643828,0.050273057,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.075539924,75
0.047643828,0.050273057,0.047643828,0.050273057,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.075539924,76
0.047643828,0.050273057,0.047643828,0.050273057,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.075539924,77
0.047643828,0.050273057,0.047643828,0.050273057,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.075539924,78
0.047643828,0.050273057,0.047643828,0.050273057,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.075539924,79
0.047643828,0.050273057,0.047643828,0.050273057,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.075539924,80
0.047643828,0.050273057,0.047643828,0.050273057,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.075539924,81
0.047643828,0.050273057,0.047643828,0.050273057,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.075539924,82
0.047643828,0.050273057,0.047643828,0.050273057,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.075539924,83
0.047643828,0.050273057,0.047643828,0.050273057,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.075539924,84
0.047643828,0.050273057,0.047643828,0.050273057,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.075539924,85
0.047643828,0.050273057,0.047643828,0.050273057,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.075539924,86
0.047643828,0.050273057,0.047643828,0.050273057,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.075539924,87
0.047643828,0.050273057,0.047643828,0.050273057,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.075539924,88
0.047643828,0.050273057,0.047643828,0.050273057,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.075539924,89
0.047643828,0.050273057,0.047643828,0.050273057,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.075539924,90
0.047643828,0.050273057,0.047643828,0.050273057,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.075539924,91
0.047643828,0.050273057,0.047643828,0.050273057,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.075539924,92
0.047643828,0.050273057,0.047643828,0.050273057,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.075539924,93
0.047643828,0.050273057,0.047643828,0.050273057,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.075539924,94
0.047643828,0.050273057,0.047643828,0.050273057,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.075539924,95
0.047643828,0.050273057,0.047643828,0.050273057,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.075539924,96
0.047643828,0.050273057,0.047643828,0.050273057,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.075539924,97
0.047643828,0.050273057,0.047643828,0.050273057,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.075539924,98
0.047643828,0.050273057,0.047643828,0.050273057,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.075539924,99
0.047643828,0.050273057,0.047643828,0.050273057,0.253314826,0.050273057,0.077715736,0.050273057,0.050273057,0.077715736,,0.075539924,100
