,,,,,,,,,,,a,b
0,0,0,0,0,0,0,0,0,0,,0,1
0.008888889,0.008888889,0.008888889,0.008888889,0.008888889,0.008888889,0.008888889,0.008888889,0.008888889,0.008888889,,0.008888889,2
0.008888889,0.008888889,0.008888889,0.008888889,0.008888889,0.008888889,0.008888889,0.008888889,0.008888889,0.008888889,,0.008888889,3
0.008888889,0.008888889,0.008888889,0.008888889,0.008888889,0.008888889,0.008888889,0.008888889,0.008888889,0.008888889,,0.008888889,4
0.019525296,0.019525296,0.019525296,0.019525296,0.019525296,0.019525296,0.019525296,0.019525296,0.019525296,0.019525296,,0.019525296,5
0.019525296,0.019525296,0.019525296,0.019525296,0.019525296,-0.108563871,0.019525296,0.019525296,0.019525296,0.019525296,,0.006716379,6
0.019525296,0.019525296,0.019525296,0.019525296,0.019525296,-0.095781738,0.019525296,0.019525296,0.019525296,0.019525296,,0.007994592,7
0.030195472,0.030195472,0.030195472,0.030195472,0.030195472,-0.095781738,0.030195472,0.030195472,0.030195472,0.030195472,,0.017597751,8
0.030195472,0.030195472,0.030195472,0.030195472,0.030195472,-0.095781738,0.030195472,0.030195472,0.030195472,0.030195472,,0.017597751,9
0.030195472,0.030195472,0.030195472,0.030195472,0.030195472,-0.083185674,0.030195472,0.030195472,0.030195472,0.030195472,,0.018857357,10
0.040710324,0.040710324,0.040710324,0.040710324,0.040710324,-0.083185674,0.040710324,0.040710324,0.040710324,0.040710324,,0.028320724,11
-0.091333381,0.040710324,0.040710324,0.040710324,0.040710324,-0.083185674,0.040710324,0.040710324,0.040710324,0.040710324,,0.015116353,12
-0.078808333,0.040710324,0.040710324,0.040710324,0.040710324,-0.070795257,0.040710324,0.040710324,0.040710324,0.040710324,,0.0176079,13
-0.437199207,0.051053507,0.051053507,0.051053507,0.051053507,-0.070795257,0.051053507,0.051053507,0.051053507,0.051053507,,-0.009956641,14
-0.418958775,-0.082920925,0.051053507,-0.082920925,0.051053507,-0.070795257,0.051053507,0.051053507,0.051053507,0.051053507,,-0.034927484,15
-0.418958775,-0.070534637,0.051053507,-0.070534637,0.051053507,-0.058609335,0.051053507,0.051053507,0.051053507,0.051053507,,-0.031231634,16
-0.418958775,-0.070534637,0.061225984,-0.070534637,0.061225984,-0.058609335,0.061225984,0.061225984,0.061225984,0.061225984,,-0.025128148,17
-0.401019714,-0.070534637,0.061225984,-0.070534637,0.061225984,-0.058609335,0.061225984,0.061225984,0.061225984,0.061225984,,-0.023334242,18
-0.587623343,-0.058352996,0.061225984,-0.058352996,0.061225984,-0.04662475,0.061225984,0.061225984,0.061225984,0.061225984,,-0.038359818,19
-0.566897236,-0.058352996,0.071230389,-0.429214572,0.071230389,-0.04662475,0.071230389,0.071230389,0.071230389,0.071230389,,-0.067370722,20
-0.566897236,-0.058352996,-0.066510395,-0.411106039,0.071230389,-0.04662475,0.071230389,0.071230389,0.071230389,0.071230389,,-0.079333947,21
-0.566897236,-0.046372645,-0.054395249,-0.411106039,0.071230389,-0.034838198,0.071230389,0.071230389,0.071230389,0.071230389,,-0.075745742,22
-0.546513611,-0.046372645,-0.054395249,-0.411106039,0.081069482,-0.034838198,0.081069482,0.081069482,0.081069482,0.081069482,,-0.068787833,23
-0.546513611,-0.046372645,-0.054395249,-0.393296735,-0.058507933,-0.034838198,-0.058507933,0.081069482,0.081069482,0.081069482,,-0.094922386,24
-0.546513611,-0.034590259,-0.042480296,-0.393296735,-0.046525021,-0.02324641,-0.046525021,0.081069482,0.081069482,0.081069482,,-0.088996891,25
