,,,,,,,,,,,a,b
0,0,0,0,0,0,0,0,0,0,,0,1
0.008888889,0.008888889,0.008888889,0.008888889,0.008888889,0.008888889,0.008888889,0.008888889,0.008888889,0.008888889,,0.008888889,2
-0.117214815,-0.117214815,-0.117214815,-0.117214815,-0.117214815,-0.117214815,-0.117214815,-0.117214815,-0.117214815,-0.117214815,,-0.117214815,3
-0.117214815,-0.117214815,-0.117214815,-0.117214815,-0.117214815,-0.117214815,-0.117214815,-0.117214815,-0.117214815,-0.117214815,,-0.117214815,4
-0.104539284,-0.104539284,-0.104539284,-0.104539284,-0.104539284,-0.104539284,-0.104539284,-0.104539284,-0.104539284,-0.104539284,,-0.104539284,5
-0.021568161,-0.021568161,-0.021568161,-0.021568161,-0.021568161,-0.104539284,-0.021568161,-0.021568161,-0.021568161,-0.021568161,,-0.029865274,6
-0.021568161,-0.021568161,-0.021568161,-0.021568161,-0.021568161,-0.09182351,-0.021568161,-0.021568161,-0.021568161,-0.021568161,,-0.028593696,7
-0.010220429,-0.010220429,-0.010220429,-0.010220429,-0.010220429,-0.010220429,-0.010220429,-0.010220429,-0.010220429,-0.010220429,,-0.010220429,8
0.106298198,0.106298198,0.106298198,0.106298198,0.106298198,-0.010220429,0.106298198,0.106298198,0.106298198,0.106298198,,0.094646335,9
0.106298198,0.106298198,0.106298198,0.106298198,0.106298198,0.000962115,0.106298198,0.106298198,0.106298198,0.106298198,,0.09576459,10
0.115555791,0.115555791,0.115555791,0.115555791,0.115555791,0.115555791,0.115555791,0.115555791,0.115555791,0.115555791,,0.115555791,11
0.115555791,0.214036761,0.214036761,0.214036761,0.214036761,0.115555791,0.214036761,0.214036761,0.214036761,0.214036761,,0.194340567,12
0.124662242,0.214036761,0.214036761,0.214036761,0.214036761,0.124662242,0.214036761,0.214036761,0.214036761,0.214036761,,0.196161858,13
0.124662242,0.221515932,0.221515932,0.221515932,0.221515932,0.221515932,0.221515932,0.221515932,0.221515932,0.221515932,,0.211830563,14
0.133618398,0.221515932,0.301327506,0.221515932,0.301327506,0.221515932,0.301327506,0.301327506,0.301327506,0.301327506,,0.260613123,15
0.228871664,0.228871664,0.301327506,0.228871664,0.301327506,0.228871664,0.301327506,0.301327506,0.301327506,0.301327506,,0.272345169,16
0.228871664,0.307364421,0.307364421,0.307364421,0.307364421,0.307364421,0.307364421,0.307364421,0.307364421,0.307364421,,0.299515145,17
0.236105863,0.307364421,0.371803367,0.307364421,0.371803367,0.307364421,0.371803367,0.371803367,0.371803367,0.371803367,,0.338901933,18
0.236105863,0.313301593,0.371803367,0.313301593,0.371803367,0.313301593,0.371803367,0.371803367,0.371803367,0.371803367,,0.340683084,19
0.243220525,0.376675738,0.376675738,0.313301593,0.376675738,0.376675738,0.376675738,0.376675738,0.376675738,0.376675738,,0.356992802,20
0.319140659,0.376675738,0.376675738,0.319140659,0.428685463,0.376675738,0.428685463,0.428685463,0.428685463,0.428685463,,0.391173585,21
0.319140659,0.381467599,0.381467599,0.381467599,0.428685463,0.381467599,0.428685463,0.428685463,0.428685463,0.428685463,,0.398843837,22
0.324883239,0.432617906,0.432617906,0.381467599,0.432617906,0.432617906,0.432617906,0.432617906,0.432617906,0.432617906,,0.416729409,23
0.386180278,0.432617906,0.432617906,0.386180278,0.432617906,0.432617906,0.432617906,0.474594533,0.474594533,0.474594533,,0.435923368,24
0.386180278,0.436485369,0.436485369,0.436485369,0.436485369,0.436485369,0.436485369,0.474594533,0.474594533,0.474594533,,0.442887609,25
