,,,,,,a,b
0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,,0.166666667,1
0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,,0.166666667,2
0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,,0.166666667,3
0.130434783,0.130434783,0.130434783,0.130434783,0.130434783,,0.130434783,4
0.130434783,0.130434783,0.130434783,0.130434783,0.130434783,,0.130434783,5
0.130434783,0.130434783,0.130434783,0.130434783,0.130434783,,0.130434783,6
0.130434783,0.130434783,0.105504587,0.105504587,0.130434783,,0.120462704,7
0.130434783,0.105504587,0.105504587,0.105504587,0.105504587,,0.110490626,8
0.105504587,0.105504587,0.105504587,0.105504587,0.105504587,,0.105504587,9
0.105504587,0.105504587,0.105504587,0.105504587,0.105504587,,0.105504587,10
0.105504587,0.105504587,0.105504587,0.105504587,0.105504587,,0.105504587,11
0.105504587,0.105504587,0.105504587,0.105504587,0.105504587,,0.105504587,12
0.105504587,0.105504587,0.105504587,0.093242087,0.105504587,,0.103052087,13
0.105504587,0.105504587,0.105504587,0.093242087,0.105504587,,0.103052087,14
0.105504587,0.105504587,0.105504587,0.093242087,0.093242087,,0.100599587,15
0.105504587,0.105504587,0.105504587,0.093242087,0.093242087,,0.100599587,16
0.105504587,0.105504587,0.105504587,0.093242087,0.093242087,,0.100599587,17
0.105504587,0.105504587,0.105504587,0.093242087,0.093242087,,0.100599587,18
0.105504587,0.105504587,0.105504587,0.093242087,0.093242087,,0.100599587,19
0.105504587,0.105504587,0.105504587,0.093242087,0.093242087,,0.100599587,20
0.105504587,0.105504587,0.105504587,0.093242087,0.093242087,,0.100599587,21
0.105504587,0.105504587,0.105504587,0.093242087,0.093242087,,0.100599587,22
0.105504587,0.105504587,0.105504587,0.093242087,0.093242087,,0.100599587,23
0.105504587,0.105504587,0.105504587,0.093242087,0.093242087,,0.100599587,24
0.105504587,0.105504587,0.105504587,0.093242087,0.093242087,,0.100599587,25
0.105504587,0.105504587,0.105504587,0.093242087,0.093242087,,0.100599587,26
0.105504587,0.105504587,0.105504587,0.093242087,0.093242087,,0.100599587,27
0.105504587,0.105504587,0.105504587,0.093242087,0.093242087,,0.100599587,28
0.105504587,0.105504587,0.105504587,0.093242087,0.093242087,,0.100599587,29
0.105504587,0.105504587,0.105504587,0.093242087,0.093242087,,0.100599587,30
0.105504587,0.105504587,0.105504587,0.093242087,0.093242087,,0.100599587,31
0.105504587,0.105504587,0.105504587,0.093242087,0.093242087,,0.100599587,32
0.105504587,0.105504587,0.105504587,0.093242087,0.093242087,,0.100599587,33
0.105504587,0.105504587,0.105504587,0.093242087,0.093242087,,0.100599587,34
0.105504587,0.105504587,0.105504587,0.093242087,0.093242087,,0.100599587,35
0.105504587,0.105504587,0.105504587,0.093242087,0.093242087,,0.100599587,36
0.105504587,0.105504587,0.105504587,0.093242087,0.093242087,,0.100599587,37
0.105504587,0.105504587,0.105504587,0.093242087,0.093242087,,0.100599587,38
