,,,,,,a,b
0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,,0.166666667,1
0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,,0.166666667,2
0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,,0.166666667,3
0.130434783,0.130434783,0.130434783,0.130434783,0.130434783,,0.130434783,4
0.130434783,0.130434783,0.130434783,0.130434783,0.130434783,,0.130434783,5
0.130434783,0.130434783,0.130434783,0.130434783,0.130434783,,0.130434783,6
0.105504587,0.105504587,0.105504587,0.105504587,0.130434783,,0.110490626,7
0.105504587,0.105504587,0.105504587,0.105504587,0.105504587,,0.105504587,8
0.105504587,0.105504587,0.105504587,0.105504587,0.105504587,,0.105504587,9
0.093242087,0.105504587,0.093242087,0.093242087,0.105504587,,0.098147087,10
0.093242087,0.105504587,0.093242087,0.093242087,0.093242087,,0.095694587,11
0.093242087,0.105504587,0.093242087,0.093242087,0.093242087,,0.095694587,12
0.088199789,0.093242087,0.088199789,0.093242087,0.093242087,,0.091225168,13
0.088199789,0.093242087,0.088199789,0.088199789,0.093242087,,0.090216708,14
0.088199789,0.093242087,0.088199789,0.088199789,0.088199789,,0.089208248,15
0.086281198,0.093242087,0.086281198,0.088199789,0.088199789,,0.088440812,16
0.086281198,0.088199789,0.086281198,0.086281198,0.088199789,,0.087048634,17
0.086281198,0.088199789,0.086281198,0.086281198,0.086281198,,0.086664916,18
0.085572919,0.088199789,0.085572919,0.086281198,0.086281198,,0.086381605,19
0.085572919,0.088199789,0.085572919,0.085572919,0.086281198,,0.086239949,20
0.085572919,0.086281198,0.085572919,0.085572919,0.085572919,,0.085714575,21
0.270682977,0.086281198,0.270682977,0.085572919,0.085572919,,0.159758598,22
0.270682977,0.086281198,0.270682977,0.270682977,0.085572919,,0.19678061,23
0.270682977,0.271435672,0.270682977,0.270682977,0.085572919,,0.233811504,24
0.270682977,0.271435672,0.270682977,0.270682977,0.270682977,,0.270833516,25
0.42573817,0.271435672,0.270682977,0.270682977,0.270682977,,0.301844555,26
0.42573817,0.271435672,0.270682977,0.42573817,0.270682977,,0.332855593,27
0.42573817,0.426234183,0.270682977,0.42573817,0.270682977,,0.363815295,28
0.42573817,0.426234183,0.42573817,0.42573817,0.42573817,,0.425837372,29
0.42573817,0.426234183,0.42573817,0.42573817,0.42573817,,0.425837372,30
0.512546169,0.426234183,0.42573817,0.512546169,0.42573817,,0.460560572,31
0.512546169,0.512781772,0.42573817,0.512546169,0.42573817,,0.47787009,32
0.512546169,0.512781772,0.42573817,0.512546169,0.42573817,,0.47787009,33
0.512546169,0.512781772,0.512546169,0.512546169,0.512546169,,0.51259329,34
0.512546169,0.512781772,0.512546169,0.512546169,0.512546169,,0.51259329,35
0.550580449,0.512781772,0.512546169,0.550580449,0.512546169,,0.527807002,36
0.550580449,0.512781772,0.512546169,0.550580449,0.512546169,,0.527807002,37
0.550580449,0.550675602,0.550580449,0.550580449,0.512546169,,0.542992624,38
