,,,,,,a,b
0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,,0.166666667,1
0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,,0.166666667,2
0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,,0.166666667,3
0.130434783,0.166666667,0.130434783,0.130434783,0.130434783,,0.137681159,4
0.130434783,0.130434783,0.130434783,0.130434783,0.130434783,,0.130434783,5
0.130434783,0.130434783,0.130434783,0.130434783,0.130434783,,0.130434783,6
0.105504587,0.130434783,0.130434783,0.105504587,0.105504587,,0.115476665,7
0.105504587,0.105504587,0.105504587,0.105504587,0.105504587,,0.105504587,8
0.105504587,0.105504587,0.105504587,0.105504587,0.105504587,,0.105504587,9
0.105504587,0.105504587,0.105504587,0.105504587,0.105504587,,0.105504587,10
0.105504587,0.105504587,0.093242087,0.105504587,0.093242087,,0.100599587,11
0.093242087,0.093242087,0.093242087,0.093242087,0.093242087,,0.093242087,12
0.093242087,0.093242087,0.093242087,0.093242087,0.093242087,,0.093242087,13
0.093242087,0.093242087,0.088199789,0.093242087,0.088199789,,0.091225168,14
0.088199789,0.093242087,0.088199789,0.093242087,0.088199789,,0.090216708,15
0.088199789,0.088199789,0.088199789,0.088199789,0.088199789,,0.088199789,16
0.088199789,0.088199789,0.088199789,0.088199789,0.088199789,,0.088199789,17
0.088199789,0.088199789,0.088199789,0.088199789,0.088199789,,0.088199789,18
0.088199789,0.088199789,0.088199789,0.088199789,0.088199789,,0.088199789,19
0.086281198,0.088199789,0.088199789,0.088199789,0.088199789,,0.087816071,20
0.086281198,0.088199789,0.088199789,0.088199789,0.088199789,,0.087816071,21
0.086281198,0.273466792,0.088199789,0.088199789,0.088199789,,0.124869471,22
0.086281198,0.273466792,0.088199789,0.088199789,0.088199789,,0.124869471,23
0.086281198,0.273466792,0.088199789,0.088199789,0.088199789,,0.124869471,24
0.086281198,0.273466792,0.088199789,0.088199789,0.088199789,,0.124869471,25
0.086281198,0.427568393,0.088199789,0.088199789,0.088199789,,0.155689791,26
0.086281198,0.427568393,0.088199789,0.088199789,0.088199789,,0.155689791,27
0.086281198,0.427568393,0.088199789,0.088199789,0.088199789,,0.155689791,28
0.086281198,0.427568393,0.088199789,0.088199789,0.088199789,,0.155689791,29
0.086281198,0.513414383,0.273466792,0.088199789,0.088199789,,0.20991239,30
0.086281198,0.513414383,0.273466792,0.088199789,0.088199789,,0.20991239,31
0.086281198,0.513414383,0.273466792,0.088199789,0.088199789,,0.20991239,32
0.086281198,0.513414383,0.273466792,0.088199789,0.088199789,,0.20991239,33
0.086281198,0.550930896,0.273466792,0.088199789,0.088199789,,0.217415693,34
0.086281198,0.550930896,0.427568393,0.088199789,0.088199789,,0.248236013,35
0.086281198,0.550930896,0.427568393,0.088199789,0.088199789,,0.248236013,36
0.086281198,0.550930896,0.427568393,0.088199789,0.088199789,,0.248236013,37
0.086281198,0.550930896,0.427568393,0.088199789,0.088199789,,0.248236013,38
