,,,,,,a,b
0,0,0,0,0,,0,1
0,0,0,0,0,,0,2
0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,,0.033333333,3
0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,,0.033333333,4
0.075362319,0.075362319,0.075362319,0.075362319,0.075362319,,0.075362319,5
0.13968494,0.13968494,0.13968494,0.13968494,0.075362319,,0.126820416,6
-0.058521136,-0.058521136,-0.058521136,-0.058521136,0.13968494,,-0.018879921,7
0.019168488,0.019168488,0.019168488,0.019168488,-0.058521136,,0.003630563,8
0.111852567,0.019168488,0.111852567,0.111852567,-0.031135325,,0.064718173,9
-0.214562866,-0.011313794,-0.214562866,-0.214562866,0.066302233,,-0.117740032,10
-0.107548344,0.08425072,-0.107548344,-0.107548344,-0.246740624,,-0.097026988,11
0.010691205,0.10049428,0.010691205,0.010691205,-0.168478542,,-0.00718213,12
-0.345514763,-0.22258661,-0.345514763,0.029248682,-0.168478542,,-0.210569199,13
-0.218820752,-0.175860824,-0.218820752,-0.333497645,-0.043734212,,-0.198146837,14
-0.082556334,-0.175860824,-0.082556334,-0.207935169,-0.380758596,,-0.185933452,15
-0.428103247,-0.11142743,-0.428103247,-0.140454849,-0.343158967,,-0.290249548,16
-0.290344749,-0.424594153,-0.290344749,-0.464194806,-0.192993511,,-0.332494393,17
-0.14360829,-0.38823217,-0.14360829,-0.322954824,-0.496945253,,-0.299069765,18
-0.474047244,-0.269425289,-0.474047244,-0.20881573,-0.401655009,,-0.365598103,19
-0.330604025,-0.247764458,-0.330604025,-0.514094377,-0.242260481,,-0.333065473,20
-0.17834689,-0.531087215,-0.17834689,-0.366754071,-0.534634462,,-0.357833906,21
-0.498175355,-0.435324026,-0.498175355,-0.225920356,-0.406170395,,-0.412753097,22
-0.498175355,-0.357698508,-0.498175355,-0.52723085,-0.406170395,,-0.457490093,23
-0.351919358,-0.605530698,-0.351919358,-0.52723085,-0.245266421,,-0.416373337,24
-0.196873642,-0.605530698,-0.351919358,-0.378138375,-0.539046459,,-0.414301706,25
-0.077359036,-0.471972957,-0.351919358,-0.22608702,-0.539046459,,-0.333276966,26
-0.077359036,-0.346690744,-0.368055192,-0.103655293,-0.494602614,,-0.278072576,27
0.027937225,-0.211242952,-0.211158927,-0.103655293,-0.323193179,,-0.164262625,28
0.139510213,-0.211242952,-0.090217856,0.004211046,-0.191064854,,-0.06976088,29
0.156282226,-0.099554315,-0.090217856,0.116902921,-0.191064854,,-0.021530375,30
0.366122129,0.013141408,-0.047563626,0.336536797,-0.113989929,,0.110849356,31
0.366122129,0.259051585,-0.047563626,0.336536797,-0.113989929,,0.160031391,32
0.428100472,0.259051585,0.072675321,0.401407889,0.013873402,,0.235021734,33
0.460482465,0.329983677,0.303308983,0.46978213,0.25913161,,0.364537773,34
0.468676272,0.329983677,0.303308983,0.480088885,0.25913161,,0.368237886,35
0.6450993,0.403758639,0.321132843,0.652722419,0.279413312,,0.460425303,36
0.6450993,0.415121527,0.399076112,0.652722419,0.362146556,,0.494833183,37
0.679805509,0.60945939,0.598609477,0.686683154,0.374581178,,0.589827742,38
0.696473904,0.60945939,0.598609477,0.704406803,0.582247947,,0.638239504,39
0.808340642,0.62114283,0.623730368,0.813349813,0.582247947,,0.68976232,40
0.808340642,0.642424993,0.623730368,0.813349813,0.608879488,,0.699345061,41
0.827084297,0.774244511,0.666935944,0.831603587,0.631026747,,0.746179017,42
0.841567632,0.774244511,0.78968911,0.846208452,0.767014507,,0.803744843,43
0.902218594,0.789001641,0.78968911,0.905082819,0.767014507,,0.830601334,44
0.902218594,0.807247994,0.795413174,0.905082819,0.786527884,,0.839298093,45
0.911781485,0.881043824,0.818906001,0.914365593,0.805049972,,0.866229375,46
0.920766107,0.881043824,0.888232272,0.923207775,0.808393394,,0.884328674,47
0.951519731,0.891096564,0.888232272,0.953013697,0.881744094,,0.913121271,48
0.951519731,0.902328491,0.895346002,0.953013697,0.881744094,,0.916790403,49
0.956261071,0.94023968,0.907363653,0.957608928,0.892675483,,0.930829763,50
0.961065661,0.94023968,0.943319268,0.962289595,0.892675483,,0.939917938,51
0.976253387,0.945781888,0.943319268,0.963009315,0.892675483,,0.944207868,52
0.976253387,0.951765876,0.948063765,0.97743885,0.843475724,,0.93939952,53
0.978575797,0.970581538,0.954027749,0.97743885,0.843475724,,0.944819932,54
0.980996423,0.970581538,0.971960864,0.979645322,0.851955335,,0.951027896,55
0.988422924,0.973403693,0.971960864,0.980789327,0.909416981,,0.964798758,56
0.988422924,0.973403693,0.974552217,0.98829676,0.909416981,,0.966818515,57
0.989555159,0.976413934,0.977474463,0.98829676,0.911659107,,0.968679884,58
0.990747519,0.985631288,0.977913628,0.989441333,0.919183328,,0.972583419,59
0.990927316,0.985631288,0.986544869,0.990354604,0.950708751,,0.980833366,60
0.994475212,0.986061401,0.986544869,0.99412646,0.950708751,,0.982383338,61
0.994475212,0.987653611,0.987834011,0.99412646,0.953766649,,0.983571189,62
0.995015534,0.992481705,0.988522935,0.994700891,0.958506543,,0.985845521,63
0.995297462,0.992481705,0.993011069,0.995247469,0.974721974,,0.990151936,64
0.997136841,0.992973243,0.993011069,0.997106402,0.974721974,,0.990989906,65
0.997136841,0.993778608,0.993689507,0.997106402,0.976818649,,0.991706001,66
0.997416857,0.996212081,0.99423705,0.997389395,0.976818649,,0.992414807,67
0.99764088,0.996212081,0.996491204,0.997677534,0.9793714,,0.99347862,68
0.99856372,0.99653221,0.996491204,0.99772185,0.979764552,,0.993814707,69
0.99856372,0.99653221,0.996833437,0.998613016,0.987677674,,0.995644011,70
0.998704188,0.996930152,0.997160456,0.998613016,0.987677674,,0.995817097,71
0.998837984,0.998131015,0.998271229,0.998748663,0.988032727,,0.996404324,72
0.999292556,0.998131015,0.998271229,0.998818987,0.990113992,,0.996925556,73
0.999292556,0.998185112,0.998440136,0.99928099,0.990113992,,0.997062557,74
0.999361744,0.998393469,0.998440136,0.99928099,0.913658593,,0.981826986,75
0.999432217,0.999021931,0.998612382,0.999351309,0.918508885,,0.982985345,76
0.999654332,0.999021931,0.999155207,0.999351309,0.950383802,,0.989513316,77
0.999654332,0.999085265,0.999155207,0.999407416,0.950383802,,0.989537204,78
0.999688138,0.999190297,0.99918063,0.999639233,0.9522026,,0.98998018,79
0.999688138,0.999206082,0.999273385,0.999639233,0.956335976,,0.990828563,80
0.999723441,0.99951666,0.999557635,0.999650093,0.973416461,,0.994372858,81
0.99983163,0.999557368,0.9995866,0.999686184,0.975263509,,0.994785058,82
0.999836699,0.999582433,0.999633826,0.999808948,0.977814754,,0.995335332,83
0.999855354,0.800741449,0.800787728,0.999821459,0.781131312,,0.87646746,84
0.800987915,0.819198085,0.817633041,0.999821459,0.800037621,,0.847535624,85
0.814020198,0.834885617,0.838535345,0.999821459,0.822107254,,0.861873975,86
0.83533652,0.379035469,0.381778473,0.999841165,0.825501651,,0.684298655,87
0.379374766,0.438578842,0.439125469,0.800975137,0.371978506,,0.486006544,88
0.431856166,0.496558201,0.439125469,0.805184906,0.430688481,,0.520682645,89
0.497053194,0.505849902,0.536668866,0.827234822,0.462683248,,0.565898006,90
0.000159942,0.006036736,0.491102666,0.830576247,-0.022803927,,0.261014333,91
0.092907355,0.102552448,0.549500969,0.832830278,0.075600285,,0.330678267,92
0.197045757,0.152405793,0.035199387,0.377491162,0.155553475,,0.183539115,93
0.212698237,-0.272261175,0.07211785,0.414602816,-0.270273952,,0.031376755,94
-0.234186728,-0.148157127,-0.081041843,0.44385342,-0.14677788,,-0.033262032,95
-0.11577939,-0.049332441,-0.114754333,-0.03538207,-0.14677788,,-0.092405223,96
-0.052599207,-0.413247438,0.013224644,0.049292816,-0.028494677,,-0.086364772,97
-0.415263672,-0.275162318,-0.360153415,0.127564703,-0.400386524,,-0.264680245,98
-0.277812341,-0.143888501,-0.309858143,-0.287948157,-0.358305069,,-0.275562442,99
-0.166942605,-0.122808172,-0.15945655,-0.169920292,-0.20838655,,-0.165502834,100
