,,,,,,a,b,,,,,,,,,,,
0,0,0,0,0,,0,1,,,,,,,,,,,
0,0,0,0,0,,0,2,,,,,,,,,,,
0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,,0.033333333,3,,,,,,,,,,,
0.033333333,0.046821705,0.033333333,0.033333333,0.033333333,,0.036031008,4,,,,,,,,,,,
0.075362319,0.046821705,0.075362319,0.075362319,0.075362319,,0.069654196,5,,,,,,,,,,,
0.13968494,0.08826424,0.13968494,0.13968494,0.13968494,,0.1294008,6,,,,,,,,,,,
-0.058521136,0.134484178,0.153426083,-0.058521136,-0.058521136,,0.02246937,7,,,,,,,,,,,
0.019168488,-0.062817418,-0.047169757,0.019168488,0.019168488,,-0.010496342,8,,,,,,,,,,,
0.019168488,0.01518753,0.029686739,0.111852567,0.019168488,,0.039012762,9,,,,,,,,,,,
0.019168488,0.096761093,0.081027114,0.127606525,0.111852567,,0.087283157,10,,,,,,,,,,,
0.111852567,0.111994806,-0.236338645,0.139151389,-0.214562866,,-0.01758055,11,,,,,,,,,,,
-0.214562866,-0.214462385,-0.127405471,-0.195278376,-0.180503861,,-0.186442592,12,,,,,,,,,,,
-0.18879198,-0.107456717,-0.032327254,-0.089963002,-0.054475732,,-0.094602937,13,,,,,,,,,,,
-0.06187903,-0.047796587,-0.373371883,-0.035587296,-0.387714396,,-0.181269838,14,,,,,,,,,,,
-0.39250849,-0.032047867,-0.244054838,-0.020251642,-0.298653697,,-0.197503307,15,,,,,,,,,,,
-0.30942921,-0.373190963,-0.117010878,-0.365552176,-0.15346394,,-0.263729433,16,,,,,,,,,,,
-0.30942921,-0.243890954,-0.096503895,-0.236971437,-0.131303227,,-0.203619744,17,,,,,,,,,,,
-0.163034748,-0.179351523,-0.081963389,-0.173092288,-0.116258685,,-0.142740127,18,,,,,,,,,,,
-0.140690158,-0.161756804,-0.067854161,-0.155606833,-0.101700446,,-0.12552168,19,,,,,,,,,,,
-0.464341488,-0.146524695,-0.053938921,-0.140456031,-0.08734408,,-0.178521043,20,,,,,,,,,,,
-0.424800855,-0.131580846,-0.04020543,-0.12559131,-0.073175295,,-0.159070747,21,,,,,,,,,,,
-0.344535341,-0.458663117,-0.026650912,-0.110924,-0.059191159,,-0.199992906,22,,,,,,,,,,,
-0.324137745,-0.458663117,-0.013273019,-0.096447969,-0.045389246,,-0.187582219,23,,,,,,,,,,,
-0.306762277,-0.317956736,-6.94E-05,-0.082160577,-0.031767181,,-0.147743244,24,,,,,,,,,,,
-0.289729284,-0.25250366,0.012962073,-0.068059359,-0.01832262,,-0.12313057,25,,,,,,,,,,,
-0.272923105,-0.124086813,0.025823784,-0.054141888,-0.005053249,,-0.086076254,26,,,,,,,,,,,
-0.256336125,-0.124086813,0.0385179,-0.040405771,0.008043213,,-0.074853519,27,,,,,,,,,,,
-0.239965291,-0.014699118,0.051046604,-0.026848643,0.02096902,,-0.041899486,28,,,,,,,,,,,
-0.22380778,0.068626897,0.06341205,-0.013468173,0.033726397,,-0.014302122,29,,,,,,,,,,,
-0.207860812,0.301903873,-0.337112543,-0.000262059,0.046317536,,-0.039402801,30,,,,,,,,,,,
-0.192121642,0.301903873,-0.337112543,0.012771971,0.058744606,,-0.031162747,31,,,,,,,,,,,
-0.176587563,0.370053936,-0.208131241,0.02563616,0.071009743,,0.016396207,32,,,,,,,,,,,
-0.161255903,0.433708954,-0.208131241,0.03833272,0.083115058,,0.037153917,33,,,,,,,,,,,
-0.146124024,0.622214676,-0.148137054,0.050863837,0.095062633,,0.094776014,34,,,,,,,,,,,
-0.131189323,0.622214676,-0.030420719,0.063231665,0.106854523,,0.126138165,35,,,,,,,,,,,
-0.11644923,0.659137727,-0.030420719,0.075438333,0.118492759,,0.141239774,36,,,,,,,,,,,
-0.101901209,0.696469666,0.000472986,0.08748594,0.129979341,,0.162501345,37,,,,,,,,,,,
-0.087542758,0.702238068,0.082550396,0.09937656,0.141316245,,0.187587702,38,,,,,,,,,,,
-0.073371407,0.812080557,0.097977252,0.111112238,0.152505423,,0.220060812,39,,,,,,,,,,,
-0.059384717,0.812080557,0.323902972,0.122694992,0.163548799,,0.272568521,40,,,,,,,,,,,
-0.045580282,0.830454657,0.323902972,0.134126817,0.174448273,,0.283470487,41,,,,,,,,,,,
-0.031955728,0.839969479,0.368125812,0.145409677,0.18520572,,0.301350992,42,,,,,,,,,,,
-0.018508709,0.901252573,0.368125812,0.156545515,0.195822991,,0.320647636,43,,,,,,,,,,,
-0.005236914,0.901252573,0.402131468,0.167536246,0.206301912,,0.334397057,44,,,,,,,,,,,
0.007861942,0.910909215,0.601148634,0.178383761,0.216644287,,0.382989568,45,,,,,,,,,,,
0.020790111,0.918610296,0.601148634,0.189089926,0.226851894,,0.391298172,46,,,,,,,,,,,
0.033549819,0.950204476,0.612088328,0.199656584,-0.235230848,,0.312053672,47,,,,,,,,,,,
0.046143259,0.950204476,0.645036204,0.210085551,-0.235230848,,0.323247728,48,,,,,,,,,,,
0.0585726,0.955074314,0.775980098,0.220378622,-0.131527972,,0.375695532,49,,,,,,,,,,,
0.070839978,0.959707048,0.775980098,0.230537569,-0.075337801,,0.392345378,50,,,,,,,,,,,
0.082947505,0.975425437,0.790268852,0.240564138,0.034914563,,0.424824099,51,,,,,,,,,,,
0.094897263,0.975425437,0.81174717,0.250460054,0.034914563,,0.433488897,52,,,,,,,,,,,
0.106691309,0.977828796,0.883837893,0.260227021,0.124203268,,0.470557657,53,,,,,,,,,,,
0.118331671,0.980275657,0.883837893,0.269866718,0.196120411,,0.48968647,54,,,,,,,,,,,
0.129820352,0.980652008,0.89356873,0.279380804,0.39746464,,0.536177307,55,,,,,,,,,,,
0.141159328,0.988213224,0.905284206,0.288770916,0.39746464,,0.544178463,56,,,,,,,,,,,
0.152350551,0.988213224,0.94205136,0.298038669,0.455216456,,0.567174052,57,,,,,,,,,,,
0.163395945,0.989365963,0.94205136,0.307185657,0.510265224,,0.58245283,58,,,,,,,,,,,
0.174297411,0.989963579,0.94740841,0.316213454,0.673287063,,0.620233983,59,,,,,,,,,,,
0.185056823,0.993888369,0.953355047,0.325123614,0.673287063,,0.626142183,60,,,,,,,,,,,
0.195676035,0.993888369,0.971551369,0.333917668,0.70500664,,0.640008016,61,,,,,,,,,,,
0.206156871,0.994486084,0.971551369,0.342597131,0.70500664,,0.643959619,62,,,,,,,,,,,
0.216501135,0.994962992,0.974277318,0.351163495,0.737314762,,0.65484394,63,,,,,,,,,,,
0.226710608,0.996933201,0.977214581,0.359618234,0.742306916,,0.660556708,64,,,,,,,,,,,
0.236787045,0.996933201,0.986119148,0.367962802,0.837368261,,0.685034091,65,,,,,,,,,,,
0.246732179,0.997233133,0.986119148,0.376198636,0.837368261,,0.688730271,66,,,,,,,,,,,
0.256547722,0.997518518,0.987466655,0.384327152,0.842253373,,0.693622684,67,,,,,,,,,,,
0.266235363,0.998489224,0.988902965,0.392349748,0.851106047,,0.69941667,68,,,,,,,,,,,
0.275796768,0.998489224,0.993242513,0.400267805,0.908124434,,0.715184149,69,,,,,,,,,,,
0.285233582,0.998636978,0.993242513,0.408082684,0.908124434,,0.718664038,70,,,,,,,,,,,
0.294547428,0.998636978,0.993901617,0.415795731,0.914137173,,0.723403785,71,,,,,,,,,,,
0.303739909,0.998787417,0.994601396,0.423408272,0.921559224,,0.728419244,72,,,,,,,,,,,
0.312812607,0.99926177,0.996713042,0.430921617,0.922902622,,0.732522332,73,,,,,,,,,,,
0.321767081,0.99926177,0.996713042,0.438337059,0.95283059,,0.741781908,74,,,,,,,,,,,
0.330604874,0.999283992,0.997034192,0.445655873,0.95283059,,0.745081904,75,,,,,,,,,,,
0.339327504,0.999365033,0.997374674,0.452879318,0.956818452,,0.749152996,76,,,,,,,,,,,
0.347936473,0.99961343,0.99742585,0.460008637,0.959156691,,0.752828216,77,,,,,,,,,,,
0.356433262,0.99961343,0.998432806,0.467045057,0.975089776,,0.759322866,78,,,,,,,,,,,
0.364819333,0.999638744,0.998432806,0.473989788,0.975089776,,0.762394089,79,,,,,,,,,,,
0.373096128,0.999680011,0.998586023,0.480844025,0.977400318,,0.765921301,80,,,,,,,,,,,
0.381265071,0.99980519,0.998666088,0.487608946,0.979324812,,0.769334022,81,,,,,,,,,,,
0.389327568,0.999821664,0.999187904,0.494285717,0.987404698,,0.77400551,82,,,,,,,,,,,
0.397285006,0.999842103,0.999267317,0.500875485,0.98861305,,0.777176592,83,,,,,,,,,,,
0.405138753,0.800975988,0.999330888,0.507379385,0.989780362,,0.740521075,84,,,,,,,,,,,
0.412890161,0.819437903,0.999342364,0.513798535,0.791746496,,0.707443092,85,,,,,,,,,,,
0.420540564,0.84015806,0.800523395,0.520134039,0.811971997,,0.678665611,86,,,,,,,,,,,
0.428091277,0.382998471,0.820031254,0.526386988,0.832677202,,0.598037038,87,,,,,,,,,,,
0.4355436,0.442193329,0.829780946,0.532558457,0.377273789,,0.523470024,88,,,,,,,,,,,
0.442898814,0.442193329,0.83234231,-0.044665914,0.438022292,,0.422158166,89,,,,,,,,,,,
0.450158185,0.506231934,0.377122884,0.056105236,0.501575194,,0.378238687,90,,,,,,,,,,,
0.457322962,0.006292129,0.438039098,0.102977792,0.003141164,,0.201554629,91,,,,,,,,,,,
0.464394378,0.036038479,0.467207068,0.116250231,0.100544262,,0.236886884,92,,,,,,,,,,,
0.471373649,0.146723129,-0.019780416,0.127832649,0.203258037,,0.18588141,93,,,,,,,,,,,
0.478261976,-0.2758497,0.079953271,0.139200318,-0.240161076,,0.036280958,94,,,,,,,,,,,
0.485060543,-0.192435304,0.15692064,0.150417185,-0.118913982,,0.096209816,95,,,,,,,,,,,
0.491770521,-0.05550873,0.171189319,0.161487777,0.009314963,,0.15565077,96,,,,,,,,,,,
0.498393064,-0.034930567,-0.260399605,0.172414107,0.028607876,,0.080816975,97,,,,,,,,,,,
0.504929311,-0.021154638,-0.137133078,0.183198061,0.041537116,,0.114275354,98,,,,,,,,,,,
0.511380387,-0.007836201,-0.137133078,0.193841493,0.054037855,,0.122858091,99,,,,,,,,,,,
0.517747401,0.005297035,-0.158584144,0.204346234,0.0663648,,0.127034265,100,,,,,,,,,,,
