,,,,,,a,b
0,0,0,0,0,,0,1
0,0,0,0,0,,0,2
0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,,0.133333333,3
0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,,0.133333333,4
0.284057971,0.284057971,0.284057971,0.284057971,0.284057971,,0.284057971,5
0.483276623,0.284057971,0.483276623,0.483276623,0.284057971,,0.403589162,6
0.516289505,0.483276623,0.418786335,0.418786335,0.483276623,,0.464083084,7
0.541745626,0.418786335,0.589417869,0.589417869,0.418786335,,0.511630807,8
0.474713208,0.47893443,0.744610381,0.744610381,0.47893443,,0.584360566,9
0.628925844,0.675887655,0.762730784,0.762730784,0.675887655,,0.701232544,10
0.702845323,0.698884072,0.775290442,0.775290442,0.698884072,,0.73023887,11
0.720441521,0.714823405,0.787010606,0.787010606,0.714823405,,0.744821909,12
0.735097461,0.729697345,0.798112449,0.655853864,0.729697345,,0.729691693,13
0.74890824,0.74378658,0.808635338,0.777144033,0.74378658,,0.764452154,14
0.761995898,0.75714107,0.818609735,0.821419638,0.615802244,,0.754993717,15
0.774401263,0.769799476,0.828064243,0.831989198,0.71227176,,0.783305188,16
0.786160025,0.781798094,0.837025957,0.840797006,0.71227176,,0.791610569,17
0.797305891,0.793171315,0.845520566,0.849097097,0.76942504,,0.810903982,18
0.807870807,0.803951735,0.853572414,0.85696261,0.783071511,,0.821085815,19
0.817885053,0.814170253,0.86120458,0.864418074,0.794443764,,0.830424345,20
0.827377332,0.823856157,0.868438939,0.871484938,0.805160493,,0.839263572,21
0.836374851,0.833037208,0.875296226,0.878183459,0.815316114,,0.847641571,22
0.844903396,0.841739719,0.881796093,0.884532837,0.824942297,,0.855582869,23
0.852987413,0.849988635,0.887957172,0.89055127,0.834066735,,0.863110245,24
0.860650071,0.857807596,0.89379712,0.896256007,0.842715585,,0.870245276,25
0.867913332,0.865219015,0.899332676,0.9016634,0.850913636,,0.877008412,26
0.874798015,0.872244131,0.904579704,0.906788945,0.858684385,,0.883419036,27
0.88132385,0.878903082,0.909553245,0.911647335,0.866050102,,0.889495523,28
0.887509543,0.885214951,0.914267553,0.916252493,0.873031901,,0.895255288,29
0.893372823,0.891197831,0.918736139,0.92061762,0.879649791,,0.900714841,30
0.898930494,0.896868867,0.922971811,0.924755225,0.88592274,,0.905889827,31
0.904198485,0.902244316,0.92698671,0.928677168,0.891868727,,0.910795081,32
0.909191896,0.907339583,0.930792342,0.932394689,0.897504796,,0.915444661,33
0.913925038,0.912169272,0.934399616,0.935918444,0.902847098,,0.919851894,34
0.918411477,0.916747226,0.937818869,0.939258533,0.907910946,,0.92402941,35
0.922664072,0.921086565,0.941059903,0.942424528,0.912710855,,0.927989184,36
0.926695011,0.925199728,0.944132006,0.945425503,0.91726058,,0.931742565,37
0.930515847,0.929098502,0.947043983,0.94827006,0.921573162,,0.935300311,38
0.934137532,0.932794063,0.949804181,0.950966352,0.925660962,,0.938672618,39
0.937570446,0.936297002,0.952420511,0.953522106,0.929535696,,0.941869152,40
0.940824428,0.939617359,0.954900471,0.955944649,0.933208469,,0.944899075,41
0.943908805,0.942764651,0.95725117,0.958240922,0.936689808,,0.947771071,42
0.946832416,0.945747898,0.959479344,0.960417508,0.939989691,,0.950493371,43
0.949603641,0.948575651,0.96159138,0.962480645,0.943117576,,0.953073779,44
0.952230424,0.951256015,0.963593332,0.964436246,0.946082428,,0.955519689,45
0.954720291,0.953796671,0.965490937,0.966289916,0.948892744,,0.957838112,46
0.957080381,0.956204902,0.967289634,0.968046969,0.95155658,,0.960035693,47
0.813441454,0.958487611,0.968994579,0.794643344,0.954081571,,0.897929712,48
0.813441454,0.960651339,0.970610658,0.794643344,0.956474952,,0.899164349,49
0.879191771,0.962702288,0.972142503,0.871989083,0.958743585,,0.928953846,50
0.879191771,0.964646336,0.973594504,0.897416489,0.960893971,,0.935148614,51
0.879191771,0.966489056,0.974970824,0.900176016,0.962932273,,0.936751988,52
0.676988511,0.968235729,0.976275406,0.900176016,0.964864334,,0.897307999,53
0.741149791,0.969891361,0.97751199,0.938693125,0.966695692,,0.918788392,54
0.748891735,0.971460698,0.978684121,0.958830288,0.968431594,,0.925259687,55
0.748891735,0.826766334,0.979795157,0.9614422,0.970077017,,0.897394489,56
0.78782738,0.826766334,0.980848283,0.9614422,0.971636677,,0.905704175,57
0.857518659,0.870264162,0.981846518,0.976450824,0.973115043,,0.931839041,58
0.866831709,0.896034198,0.982792722,0.985969122,0.974516353,,0.941228821,59
0.866831709,0.899143708,0.983689607,0.987142235,0.975844624,,0.942530377,60
0.904499735,0.899143708,0.984539745,0.987142235,0.977103661,,0.950485817,61
0.904499735,0.93274649,0.985345572,0.992163077,0.978297075,,0.95861039,62
0.908651921,0.954836914,0.986109397,0.992163077,0.979428285,,0.964237919,63
0.908651921,0.957788922,0.986833409,0.995596324,0.980500533,,0.965874222,64
0.696157399,0.957788922,0.987519684,0.996003137,0.981516893,,0.923797207,65
0.718457773,0.973365377,0.988170189,0.996003137,0.982480278,,0.931695351,66
0.718457773,0.984130777,0.988786788,0.99648414,0.983393449,,0.934250586,67
0.278230913,0.985471819,0.842820785,0.998071371,0.984259024,,0.817770783,68
0.569961449,0.985471819,0.842820785,0.998256126,0.985079482,,0.876317932,69
0.601386541,0.991035989,0.89821671,0.998256126,0.985857176,,0.894950509,70
0.635071713,0.991035989,0.9184344,0.998712845,0.986594335,,0.905969856,71
0.635071713,0.991035989,0.920873944,0.998712845,0.987293071,,0.906597512,72
0.681442531,0.994962997,0.920873944,0.999300366,0.987955388,,0.916907045,73
0.75197647,0.995430128,0.950676062,0.999368278,0.988583183,,0.937206824,74
0.774978115,0.995430128,0.966877249,0.999368278,0.989178255,,0.945166405,75
0.774978115,0.995821823,0.969042261,0.999437598,0.989742311,,0.945804422,76
0.834854396,0.997708056,0.969042261,0.999695338,0.990276967,,0.958315404,77
0.891628228,0.997927925,0.980987312,0.999725052,0.990783756,,0.972210455,78
0.902024452,0.997927925,0.988672016,0.999725052,0.991264129,,0.975922715,79
0.902024452,0.998423607,0.989499809,0.999795204,0.991719464,,0.976292507,80
0.93535196,0.99914315,0.990387137,0.999889196,0.816230067,,0.948200302,81
0.961957666,0.999226365,0.994128944,0.999900022,0.836247126,,0.958292024,82
0.965652244,0.999479724,0.994128944,0.999933523,0.868774124,,0.965593712,83
0.978423134,0.999718158,0.994128944,0.999964049,0.876540653,,0.969754988,84
0.987940114,0.949714439,0.995428894,0.950203428,0.883012883,,0.953259952,85
0.988860138,0.968154663,0.940261457,0.968617283,0.889112037,,0.951001115,86
0.939127928,0.982770136,0.94538565,0.983030815,0.894891851,,0.949041276,87
0.962505528,0.859432899,0.964160996,0.859840394,0.900370349,,0.909262033,88
0.962505528,0.913146463,0.966610952,0.913560932,0.905563292,,0.932277433,89
0.970932724,0.913146463,0.968374594,0.953263642,0.910485565,,0.943240598,90
0.848331827,0.953029122,0.842547616,0.95690831,0.915151278,,0.903193631,91
0.866496289,0.790880687,0.880220294,0.959202679,0.919573802,,0.88327475,92
0.912681051,0.815889732,0.904107127,0.961331079,0.923765814,,0.903554961,93
0.918664001,0.900448351,0.909786633,0.963346677,0.927739327,,0.923996998,94
0.922960809,0.908211443,0.749678694,0.965257141,0.931505731,,0.895522764,95
0.926978589,0.732380146,0.831662056,0.967068025,0.935075821,,0.878632927,96
0.930784738,0.80234285,0.866433704,0.96878452,0.938459829,,0.901361128,97
0.934392412,0.847112847,0.874397103,0.970411548,0.941667454,,0.913596273,98
0.937812041,0.856400752,0.880984063,0.971953771,0.94470789,,0.918371703,99
0.94105343,0.863938462,0.887189085,0.97341561,0.947589851,,0.922637288,100
