,,,,,,a,b
0,0,0,0,0,,0,1
0,0,0,0,0,,0,2
0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,,0.133333333,3
0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,,0.133333333,4
0.284057971,0.284057971,0.284057971,0.284057971,0.284057971,,0.284057971,5
0.483276623,0.483276623,0.483276623,0.483276623,0.284057971,,0.443432892,6
0.418786335,0.418786335,0.418786335,0.418786335,0.483276623,,0.431684392,7
0.589417869,0.589417869,0.589417869,0.589417869,0.418786335,,0.555291562,8
0.744610381,0.589417869,0.744610381,0.744610381,0.47893443,,0.660436689,9
0.616565583,0.399266447,0.616565583,0.616565583,0.675887655,,0.58497017,10
0.751702435,0.626332707,0.751702435,0.751702435,0.552886726,,0.686865347,11
0.857733354,0.652845147,0.857733354,0.857733354,0.665153913,,0.778239824,12
0.694049406,0.531535411,0.694049406,0.868407918,0.665153913,,0.690639211,13
0.809282948,0.603152017,0.809282948,0.703783439,0.80814379,,0.746729028,14
0.894571775,0.603152017,0.894571775,0.815350745,0.648829154,,0.771295093,15
0.716178416,0.690135994,0.716178416,0.85661187,0.687080282,,0.733236996,16
0.825691045,0.541218964,0.825691045,0.681792825,0.827018244,,0.740282425,17
0.904979867,0.5880595,0.904979867,0.804573143,0.654985743,,0.771515624,18
0.721220628,0.729077312,0.721220628,0.87201564,0.742835296,,0.757273901,19
0.829735496,0.747568863,0.829735496,0.691436216,0.859813144,,0.791657843,20
0.907666977,0.583017336,0.907666977,0.811544666,0.680410803,,0.778061352,21
0.722027139,0.687339518,0.722027139,0.889220278,0.787421897,,0.761607194,22
0.722027139,0.754977017,0.722027139,0.705375534,0.787421897,,0.738365745,23
0.830573039,0.585687438,0.830573039,0.705375534,0.884720665,,0.767385943,24
0.908296386,0.585687438,0.830573039,0.820423736,0.701313789,,0.769258878,25
0.910585668,0.723547523,0.830573039,0.899675036,0.701313789,,0.813139011,26
0.910585668,0.817664954,0.648263488,0.90217954,0.735815058,,0.802901741,27
0.945541498,0.822249688,0.809619974,0.90217954,0.857007918,,0.867319724,28
0.970544401,0.822249688,0.814372605,0.94042168,0.860577561,,0.881633187,29
0.972840906,0.887811069,0.814372605,0.96739122,0.860577561,,0.900598672,30
0.974529581,0.933805023,0.843422922,0.969418741,0.896666188,,0.923568491,31
0.974529581,0.937928719,0.843422922,0.969418741,0.896666188,,0.92439323,32
0.984491212,0.937928719,0.915310347,0.981379252,0.944108647,,0.952643635,33
0.988003755,0.961697423,0.920576109,0.989887079,0.947583813,,0.961549636,34
0.988732517,0.961697423,0.920576109,0.990673408,0.947583813,,0.961852654,35
0.989667843,0.978567288,0.928703903,0.991447618,0.953323507,,0.968342032,36
0.989667843,0.980201106,0.961446986,0.991447618,0.974759916,,0.979504694,37
0.993709424,0.981845753,0.964647313,0.994793013,0.976728085,,0.982344718,38
0.995019301,0.981845753,0.964647313,0.995971205,0.978659912,,0.983228697,39
0.995478219,0.984018168,0.973497457,0.996342415,0.978659912,,0.985599234,40
0.995478219,0.987609262,0.973497457,0.996342415,0.984101603,,0.987405791,41
0.99724708,0.988751219,0.985670192,0.997773214,0.9877026,,0.991428861,42
0.998169413,0.988751219,0.986990531,0.998545722,0.988835674,,0.992258512,43
0.998344609,0.991692449,0.986990531,0.998684904,0.988835674,,0.992909633,44
0.998344609,0.994566074,0.988406854,0.998684904,0.992575884,,0.994515665,45
0.998992189,0.995086173,0.993731845,0.999199362,0.995152523,,0.996432419,46
0.999402751,0.995086173,0.994331738,0.999530042,0.995485063,,0.996767153,47
0.999460705,0.996747203,0.994331738,0.999575644,0.995917164,,0.997206491,48
0.999460705,0.998089132,0.995774819,0.999575644,0.995917164,,0.997763493,49
0.999671676,0.998274558,0.997715567,0.999741651,0.997426808,,0.998566052,50
0.999815938,0.998274558,0.997937235,0.999855755,0.997426808,,0.998662059,51
0.999833888,0.998914632,0.997937235,0.999866767,0.997426808,,0.998795866,52
0.999833888,0.999393795,0.998627895,0.99987976,0.7897358,,0.957494228,53
0.999898871,0.999452914,0.999258146,0.99987976,0.7897358,,0.957645098,54
0.999944575,0.999452914,0.999330493,0.999926798,0.835299563,,0.966790868,55
0.99994999,0.999662845,0.999330493,0.999943255,0.851281156,,0.970033548,56
0.99994999,0.999662845,0.999577994,0.999948798,0.851281156,,0.970084157,57
0.999969554,0.999815485,0.999771835,0.999948798,0.866005605,,0.973102255,58
0.999983457,0.999833512,0.999789628,0.999968828,0.911656195,,0.982246324,59
0.999984742,0.999833512,0.999810181,0.999979613,0.920271608,,0.983975931,60
0.999986234,0.999853447,0.999810181,0.999981606,0.920271608,,0.983980615,61
0.999986234,0.99992041,0.999882928,0.999981606,0.940056162,,0.987965468,62
0.999991619,0.999928191,0.999909446,0.999988802,0.964638191,,0.99289125,63
0.999993515,0.999928191,0.999918298,0.999993422,0.968092995,,0.993585284,64
0.99999415,0.99994697,0.999918298,0.999994065,0.968092995,,0.993589296,65
0.99999415,0.999971282,0.999950023,0.999994065,0.97867905,,0.995717714,66
0.999996438,0.99997409,0.999967368,0.999996387,0.97867905,,0.995722667,67
0.999997674,0.99997409,0.999970559,0.999997982,0.988070577,,0.997602176,68
0.999997901,0.999982849,0.999970559,0.999998136,0.988980009,,0.997785891,69
0.999997901,0.999982849,0.999982045,0.999998318,0.990057358,,0.998003694,70
0.999998722,0.999990722,0.999989462,0.999998318,0.990057358,,0.998006916,71
0.99999925,0.999991629,0.999990493,0.999998976,0.9912033,,0.99823673,72
0.999999323,0.999991629,0.999990493,0.999999206,0.991585766,,0.998313283,73
0.999999323,0.999992598,0.999994208,0.999999284,0.991585766,,0.998314236,74
0.999999588,0.999995997,0.999994208,0.999999284,0.685538003,,0.937105416,75
0.99999977,0.999996389,0.999996766,0.999999564,0.756198533,,0.951238204,76
0.999999792,0.999996389,0.999997083,0.999999564,0.78003902,,0.95600637,77
0.999999792,0.999997324,0.999997083,0.999999715,0.78003902,,0.956006587,78
0.999999874,0.999998553,0.999997434,0.999999743,0.812291772,,0.962457475,79
0.999999874,0.999998666,0.999998596,0.999999743,0.877221539,,0.975443683,80
0.999999931,0.999998796,0.999998733,0.999999774,0.889228653,,0.977845177,81
0.999999938,0.999999202,0.999999065,0.999999867,0.920014624,,0.984002539,82
0.999999945,0.999999383,0.999999492,0.99999988,0.9530124,,0.99060222,83
0.99999997,0.950278771,0.950278877,0.999999912,0.904458156,,0.961003137,84
0.950279515,0.968700799,0.967096474,0.999999912,0.937470527,,0.964709445,85
0.963303276,0.979563675,0.982181652,0.999999912,0.965075771,,0.978024857,86
0.980127451,0.856615358,0.859070734,0.999999951,0.967741347,,0.932710968,87
0.85714423,0.911611126,0.911361829,0.950279496,0.845526141,,0.895184564,88
0.90546499,0.948123681,0.911361829,0.954486244,0.903289492,,0.924545247,89
0.948858239,0.951953472,0.915215662,0.975091927,0.925029647,,0.943229789,90
0.787144795,0.789983139,0.688051303,0.977018899,0.765292874,,0.801498202,91
0.866124506,0.871555276,0.831241477,0.978241871,0.85561779,,0.880556184,92
0.927602593,0.90009577,0.679287654,0.855375761,0.905569421,,0.85358624,93
0.933247741,0.725047208,0.728376375,0.889863591,0.730016376,,0.801310258,94
0.755145035,0.832329439,0.666648647,0.911876382,0.83500764,,0.800201429,95
0.849110151,0.890056697,0.422080926,0.75323164,0.83500764,,0.749897411,96
0.883286256,0.709178542,0.687472105,0.833955783,0.903079497,,0.803394437,97
0.703056038,0.822840495,0.532011748,0.88863758,0.72095498,,0.733500168,98
0.818413603,0.895792476,0.601232164,0.714644637,0.754496064,,0.756915789,99
0.881435176,0.903474095,0.784382738,0.819244761,0.862882869,,0.850283928,100
