,,,,,,a,b
0,0,0,0,0,,0,1
0,0,0,0,0,,0,2
0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,,0.133333333,3
0.133333333,0.181705426,0.133333333,0.133333333,0.133333333,,0.143007752,4
0.284057971,0.181705426,0.284057971,0.284057971,0.284057971,,0.263587462,5
0.483276623,0.324017526,0.483276623,0.483276623,0.483276623,,0.451424803,6
0.418786335,0.46109175,0.516289505,0.418786335,0.418786335,,0.446748052,7
0.589417869,0.397566022,0.450363874,0.589417869,0.589417869,,0.523236701,8
0.589417869,0.574427373,0.611724939,0.744610381,0.589417869,,0.621919686,9
0.589417869,0.715430769,0.693901234,0.762730784,0.744610381,,0.701218207,10
0.744610381,0.734628551,0.569578207,0.775290442,0.616565583,,0.688134633,11
0.616565583,0.607316363,0.721275195,0.644993896,0.659574949,,0.649945197,12
0.649108795,0.745712992,0.815298714,0.77011153,0.80494722,,0.75703585,13
0.798950446,0.800508076,0.65535366,0.815985924,0.645914232,,0.743342468,14
0.64044583,0.812501787,0.785161607,0.826885927,0.736812261,,0.760361482,15
0.726252134,0.652803169,0.87291954,0.66591993,0.85451004,,0.754480963,16
0.726252134,0.783571736,0.882251721,0.791748186,0.865690836,,0.809902923,17
0.848672411,0.828489361,0.888497461,0.83476599,0.872835233,,0.854652091,18
0.860301824,0.838724415,0.894313609,0.844617531,0.879469162,,0.863485308,19
0.685135333,0.847182526,0.899822419,0.852766216,0.885751758,,0.834131651,20
0.719143652,0.855149843,0.905043928,0.860442406,0.891706667,,0.846297299,21
0.782431316,0.680468463,0.909993273,0.867716572,0.897351183,,0.827592161,22
0.795634027,0.680468463,0.914684645,0.874611513,0.902701492,,0.833620028,23
0.80636087,0.803759786,0.919131491,0.88114707,0.90777293,,0.863634429,24
0.816456827,0.842742934,0.923346557,0.887341977,0.912580032,,0.876493665,25
0.82602367,0.846773752,0.927341923,0.89321399,0.917136576,,0.882097982,26
0.83509175,0.846773752,0.931129041,0.89877994,0.921455621,,0.886646021,27
0.843687174,0.906417068,0.934718765,0.904055779,0.925549548,,0.902885667,28
0.851834583,0.937156792,0.938121384,0.909056628,0.929430088,,0.913119895,29
0.859557329,0.941091808,0.755627383,0.91379682,0.933108366,,0.880636341,30
0.866877547,0.941091808,0.755627383,0.918289942,0.936594923,,0.883696321,31
0.873816217,0.964094927,0.849918618,0.922548872,0.939899751,,0.910055677,32
0.880393227,0.978607522,0.849918618,0.926585815,0.943032324,,0.915707501,33
0.886627426,0.980387792,0.879729984,0.930412343,0.94600162,,0.924631833,34
0.892536684,0.980387792,0.882812748,0.934039423,0.948816148,,0.927718559,35
0.898137936,0.988055031,0.882812748,0.937477451,0.951483977,,0.931593429,36
0.903447238,0.993287981,0.896866613,0.94073628,0.954012751,,0.937670173,37
0.908479805,0.993798212,0.930742321,0.943825251,0.95640972,,0.946651062,38
0.913250063,0.994370162,0.935400575,0.946753217,0.958681753,,0.949691154,39
0.917771684,0.994370162,0.939445559,0.94952857,0.960835361,,0.952390267,40
0.922057626,0.996572025,0.939445559,0.952159266,0.962876719,,0.954622239,41
0.926120174,0.997341532,0.955288784,0.954652842,0.964811675,,0.959643002,42
0.929970973,0.997596044,0.955288784,0.957016448,0.966645778,,0.961303605,43
0.933621058,0.997596044,0.964913701,0.959256857,0.968384282,,0.964754388,44
0.937080892,0.998536388,0.967833564,0.961380489,0.970032171,,0.966972701,45
0.940360391,0.999042452,0.967833564,0.963393433,0.971594168,,0.968444801,46
0.943468954,0.999135378,0.971362607,0.965301458,0.785948361,,0.933043352,47
0.946415491,0.999135378,0.981092052,0.967110031,0.785948361,,0.935940263,48
0.949208448,0.999473607,0.982835807,0.968824337,0.857830538,,0.951634547,49
0.951855828,0.999690733,0.982835807,0.97044929,0.886070322,,0.958180396,50
0.954365221,0.999720895,0.987214971,0.971989545,0.888990571,,0.96045624,51
0.956743818,0.999720895,0.992452169,0.973449519,0.888990571,,0.962271394,52
0.958998437,0.999830079,0.993174773,0.974833396,0.93007248,,0.971381833,53
0.961135539,0.99990509,0.993174773,0.976145141,0.953041223,,0.976680353,54
0.963161251,0.999912334,0.995461755,0.977388515,0.955981613,,0.978381094,55
0.965081377,0.999920899,0.997459954,0.978567081,0.955981613,,0.979402185,56
0.966901422,0.999920899,0.997706455,0.979684218,0.972857913,,0.983414181,57
0.968626601,0.999951843,0.997706455,0.980743126,0.983828424,,0.98617129,58
0.97026186,0.999962669,0.99855456,0.981746842,0.985174213,,0.987140029,59
0.971811885,0.999966318,0.999208315,0.982698242,0.985174213,,0.987771795,60
0.973281119,0.999966318,0.999285525,0.983600052,0.990931778,,0.989412958,61
0.974673773,0.999979494,0.999285525,0.984454857,0.990931778,,0.989865085,62
0.975993838,0.999986589,0.999559369,0.985265109,0.99490444,,0.991141869,63
0.977245098,0.9999879,0.999760631,0.986033127,0.99529179,,0.991663709,64
0.97843114,0.9999879,0.999784017,0.986761115,0.995725997,,0.992138034,65
0.979555362,0.999992634,0.999784017,0.987451158,0.995725997,,0.992501834,66
0.980620987,0.999995673,0.999867885,0.988105235,0.996239525,,0.992965861,67
0.981631069,0.999996096,0.999928446,0.988725219,0.99708367,,0.9934729,68
0.982588502,0.999996096,0.999935441,0.989312889,0.99736287,,0.99383916,69
0.983496033,0.999997623,0.999935441,0.989869927,0.99736287,,0.994132379,70
0.98435626,0.999997623,0.999960629,0.990397932,0.998053211,,0.994553131,71
0.98517165,0.999998673,0.9999787,0.990898415,0.998726339,,0.994954755,72
0.98594454,0.999998802,0.999980783,0.991372812,0.998813591,,0.995222106,73
0.986677145,0.999998802,0.999980783,0.991822482,0.998928728,,0.995481588,74
0.987371565,0.999998947,0.999988293,0.992248715,0.998928728,,0.995707249,75
0.988029791,0.999999423,0.999993669,0.992652731,0.999291004,,0.995993323,76
0.988653707,0.99999948,0.999994163,0.993035688,0.999444569,,0.996225522,77
0.989245104,0.99999948,0.999994734,0.993398686,0.999498738,,0.996427348,78
0.989805676,0.999999616,0.999994734,0.993742762,0.999498738,,0.996608305,79
0.990337029,0.999999792,0.999996793,0.994068905,0.999684716,,0.996817447,80
0.990840687,0.999999812,0.999997519,0.994378048,0.999792109,,0.997001635,81
0.991318093,0.999999876,0.999997762,0.994671078,0.99981242,,0.997159846,82
0.991770615,0.999999933,0.999998637,0.994948835,0.999884403,,0.997320485,83
0.992199551,0.95027948,0.99999911,0.995212114,0.999931804,,0.987524412,84
0.99260613,0.968728229,0.999999171,0.99546167,0.950170756,,0.981393191,85
0.992991516,0.983082427,0.950278101,0.995698219,0.969528344,,0.978315721,86
0.993356816,0.859915677,0.969728357,0.995922439,0.982950215,,0.960374701,87
0.993703075,0.913674193,0.976288145,0.996134971,0.859763996,,0.947912876,88
0.994031286,0.913674193,0.977715358,0.808178396,0.914485491,,0.921616945,89
0.99434239,0.953316489,0.854881534,0.88219281,0.95316813,,0.927580271,90
0.994637279,0.791233107,0.91165079,0.905593402,0.791084096,,0.878839735,91
0.994916797,0.816230607,0.929993469,0.911180803,0.872736805,,0.905011696,92
0.995181746,0.900634187,0.769845204,0.915837058,0.930868329,,0.902473305,93
0.995432885,0.725536043,0.859881004,0.920224916,0.752979652,,0.8508109,94
0.995670934,0.797313292,0.906768146,0.924383033,0.849581618,,0.894743405,95
0.995896576,0.890410826,0.913079748,0.928324377,0.918534159,,0.929249137,96
0.996110457,0.898957013,0.736834965,0.932060287,0.924880125,,0.897768569,97
0.996313189,0.904336934,0.839784664,0.935601472,0.92887951,,0.920983154,98
0.996505355,0.909327686,0.839784664,0.938958082,0.932589862,,0.92343313,99
0.996687504,0.914053934,0.65683482,0.942139737,0.93610358,,0.889163915,100
