,,,,,,a,b
0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,,0.166666667,1
0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,,0.166666667,2
0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,,0.166666667,3
0.347826087,0.347826087,0.347826087,0.347826087,0.347826087,,0.347826087,4
0.347826087,0.347826087,0.347826087,0.347826087,0.347826087,,0.347826087,5
0.347826087,0.347826087,0.347826087,0.347826087,0.347826087,,0.347826087,6
0.347826087,0.347826087,0.472477064,0.472477064,0.347826087,,0.397686478,7
0.347826087,0.472477064,0.472477064,0.472477064,0.472477064,,0.447546869,8
0.472477064,0.472477064,0.472477064,0.472477064,0.472477064,,0.472477064,9
0.472477064,0.472477064,0.472477064,0.472477064,0.472477064,,0.472477064,10
0.472477064,0.472477064,0.472477064,0.472477064,0.472477064,,0.472477064,11
0.472477064,0.472477064,0.472477064,0.472477064,0.472477064,,0.472477064,12
0.472477064,0.472477064,0.472477064,0.533789564,0.472477064,,0.484739564,13
0.472477064,0.472477064,0.472477064,0.533789564,0.472477064,,0.484739564,14
0.472477064,0.472477064,0.472477064,0.533789564,0.533789564,,0.497002064,15
0.472477064,0.472477064,0.472477064,0.533789564,0.533789564,,0.497002064,16
0.472477064,0.472477064,0.472477064,0.533789564,0.533789564,,0.497002064,17
0.472477064,0.472477064,0.472477064,0.533789564,0.533789564,,0.497002064,18
0.472477064,0.472477064,0.472477064,0.533789564,0.533789564,,0.497002064,19
0.472477064,0.472477064,0.472477064,0.533789564,0.533789564,,0.497002064,20
0.472477064,0.472477064,0.472477064,0.533789564,0.533789564,,0.497002064,21
0.472477064,0.472477064,0.472477064,0.533789564,0.533789564,,0.497002064,22
0.472477064,0.472477064,0.472477064,0.533789564,0.533789564,,0.497002064,23
0.472477064,0.472477064,0.472477064,0.533789564,0.533789564,,0.497002064,24
0.472477064,0.472477064,0.472477064,0.533789564,0.533789564,,0.497002064,25
0.472477064,0.472477064,0.472477064,0.533789564,0.533789564,,0.497002064,26
0.472477064,0.472477064,0.472477064,0.533789564,0.533789564,,0.497002064,27
0.472477064,0.472477064,0.472477064,0.533789564,0.533789564,,0.497002064,28
0.472477064,0.472477064,0.472477064,0.533789564,0.533789564,,0.497002064,29
0.472477064,0.472477064,0.472477064,0.533789564,0.533789564,,0.497002064,30
0.472477064,0.472477064,0.472477064,0.533789564,0.533789564,,0.497002064,31
0.472477064,0.472477064,0.472477064,0.533789564,0.533789564,,0.497002064,32
0.472477064,0.472477064,0.472477064,0.533789564,0.533789564,,0.497002064,33
0.472477064,0.472477064,0.472477064,0.533789564,0.533789564,,0.497002064,34
0.472477064,0.472477064,0.472477064,0.533789564,0.533789564,,0.497002064,35
0.472477064,0.472477064,0.472477064,0.533789564,0.533789564,,0.497002064,36
0.472477064,0.472477064,0.472477064,0.533789564,0.533789564,,0.497002064,37
0.472477064,0.472477064,0.472477064,0.533789564,0.533789564,,0.497002064,38
