,,,,,,a,b
0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,,0.166666667,1
0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,,0.166666667,2
0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,,0.166666667,3
0.347826087,0.347826087,0.347826087,0.347826087,0.347826087,,0.347826087,4
0.347826087,0.347826087,0.347826087,0.347826087,0.347826087,,0.347826087,5
0.347826087,0.347826087,0.347826087,0.347826087,0.347826087,,0.347826087,6
0.472477064,0.472477064,0.472477064,0.472477064,0.347826087,,0.447546869,7
0.472477064,0.472477064,0.472477064,0.472477064,0.472477064,,0.472477064,8
0.472477064,0.472477064,0.472477064,0.472477064,0.472477064,,0.472477064,9
0.533789564,0.472477064,0.533789564,0.533789564,0.472477064,,0.509264564,10
0.533789564,0.472477064,0.533789564,0.533789564,0.533789564,,0.521527064,11
0.533789564,0.472477064,0.533789564,0.533789564,0.533789564,,0.521527064,12
0.559001056,0.533789564,0.559001056,0.533789564,0.533789564,,0.543874161,13
0.559001056,0.533789564,0.559001056,0.559001056,0.533789564,,0.548916459,14
0.559001056,0.533789564,0.559001056,0.559001056,0.559001056,,0.553958758,15
0.568594008,0.533789564,0.568594008,0.559001056,0.559001056,,0.557795939,16
0.568594008,0.559001056,0.568594008,0.568594008,0.559001056,,0.564756828,17
0.568594008,0.559001056,0.568594008,0.568594008,0.568594008,,0.566675418,18
0.572135407,0.559001056,0.572135407,0.568594008,0.568594008,,0.568091977,19
0.572135407,0.559001056,0.572135407,0.572135407,0.568594008,,0.568800257,20
0.572135407,0.568594008,0.572135407,0.572135407,0.572135407,,0.571427127,21
0.145863405,0.568594008,0.145863405,0.572135407,0.572135407,,0.400918326,22
0.145863405,0.568594008,0.145863405,0.145863405,0.572135407,,0.315663926,23
0.145863405,0.145712866,0.145863405,0.145863405,0.572135407,,0.231087697,24
0.145863405,0.145712866,0.145863405,0.145863405,0.145863405,,0.145833297,25
0.114852366,0.145712866,0.145863405,0.145863405,0.145863405,,0.139631089,26
0.114852366,0.145712866,0.145863405,0.114852366,0.145863405,,0.133428881,27
0.114852366,0.114753163,0.145863405,0.114852366,0.145863405,,0.127236941,28
0.114852366,0.114753163,0.114852366,0.114852366,0.114852366,,0.114832526,29
0.114852366,0.114753163,0.114852366,0.114852366,0.114852366,,0.114832526,30
0.097490766,0.114753163,0.114852366,0.097490766,0.114852366,,0.107887886,31
0.097490766,0.097443646,0.114852366,0.097490766,0.114852366,,0.104425982,32
0.097490766,0.097443646,0.114852366,0.097490766,0.114852366,,0.104425982,33
0.097490766,0.097443646,0.097490766,0.097490766,0.097490766,,0.097481342,34
0.097490766,0.097443646,0.097490766,0.097490766,0.097490766,,0.097481342,35
0.08988391,0.097443646,0.097490766,0.08988391,0.097490766,,0.0944386,36
0.08988391,0.097443646,0.097490766,0.08988391,0.097490766,,0.0944386,37
0.08988391,0.08986488,0.08988391,0.08988391,0.097490766,,0.091401475,38
