,,,,,,a,b
0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,,0.166666667,1
0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,,0.166666667,2
0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,,0.166666667,3
0.347826087,0.166666667,0.347826087,0.347826087,0.347826087,,0.311594203,4
0.347826087,0.347826087,0.347826087,0.347826087,0.347826087,,0.347826087,5
0.347826087,0.347826087,0.347826087,0.347826087,0.347826087,,0.347826087,6
0.472477064,0.347826087,0.347826087,0.472477064,0.472477064,,0.422616673,7
0.472477064,0.472477064,0.472477064,0.472477064,0.472477064,,0.472477064,8
0.472477064,0.472477064,0.472477064,0.472477064,0.472477064,,0.472477064,9
0.472477064,0.472477064,0.472477064,0.472477064,0.472477064,,0.472477064,10
0.472477064,0.472477064,0.533789564,0.472477064,0.533789564,,0.497002064,11
0.533789564,0.533789564,0.533789564,0.533789564,0.533789564,,0.533789564,12
0.533789564,0.533789564,0.533789564,0.533789564,0.533789564,,0.533789564,13
0.533789564,0.533789564,0.559001056,0.533789564,0.559001056,,0.543874161,14
0.559001056,0.533789564,0.559001056,0.533789564,0.559001056,,0.548916459,15
0.559001056,0.559001056,0.559001056,0.559001056,0.559001056,,0.559001056,16
0.559001056,0.559001056,0.559001056,0.559001056,0.559001056,,0.559001056,17
0.559001056,0.559001056,0.559001056,0.559001056,0.559001056,,0.559001056,18
0.559001056,0.559001056,0.559001056,0.559001056,0.559001056,,0.559001056,19
0.568594008,0.559001056,0.559001056,0.559001056,0.559001056,,0.560919647,20
0.568594008,0.559001056,0.559001056,0.559001056,0.559001056,,0.560919647,21
0.568594008,0.145306642,0.559001056,0.559001056,0.559001056,,0.478180764,22
0.568594008,0.145306642,0.559001056,0.559001056,0.559001056,,0.478180764,23
0.568594008,0.145306642,0.559001056,0.559001056,0.559001056,,0.478180764,24
0.568594008,0.145306642,0.559001056,0.559001056,0.559001056,,0.478180764,25
0.568594008,0.114486321,0.559001056,0.559001056,0.559001056,,0.4720167,26
0.568594008,0.114486321,0.559001056,0.559001056,0.559001056,,0.4720167,27
0.568594008,0.114486321,0.559001056,0.559001056,0.559001056,,0.4720167,28
0.568594008,0.114486321,0.559001056,0.559001056,0.559001056,,0.4720167,29
0.568594008,0.097317123,0.145306642,0.559001056,0.559001056,,0.385843977,30
0.568594008,0.097317123,0.145306642,0.559001056,0.559001056,,0.385843977,31
0.568594008,0.097317123,0.145306642,0.559001056,0.559001056,,0.385843977,32
0.568594008,0.097317123,0.145306642,0.559001056,0.559001056,,0.385843977,33
0.568594008,0.089813821,0.145306642,0.559001056,0.559001056,,0.384343317,34
0.568594008,0.089813821,0.114486321,0.559001056,0.559001056,,0.378179253,35
0.568594008,0.089813821,0.114486321,0.559001056,0.559001056,,0.378179253,36
0.568594008,0.089813821,0.114486321,0.559001056,0.559001056,,0.378179253,37
0.568594008,0.089813821,0.114486321,0.559001056,0.559001056,,0.378179253,38
