,,,,,a,b
0,0,0,0,0,0,1
0,0,0,0,0,0,2
0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,3
0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,4
0.021407267,0.021407267,0.021407267,0.021407267,0.021407267,0.021407267,5
0.067506466,0.021407267,0.067506466,0.067506466,0.021407267,0.049066787,6
0.079212277,0.067506466,-0.024507852,-0.024507852,0.067506466,0.033041901,7
0.089151934,-0.024507852,0.01129825,0.01129825,-0.024507852,0.012546546,8
-0.018024247,-0.014911779,0.083286582,0.083286582,-0.014911779,0.023745072,9
0.024032818,0.044812861,0.097329425,0.097329425,0.044812861,0.061663478,10
0.060522346,0.057912443,0.107882742,0.107882742,0.057912443,0.078422543,11
0.071784513,0.06790903,0.118347662,0.118347662,0.06790903,0.088859579,12
0.081919282,0.077932859,0.128853363,-0.122873516,0.077932859,0.048752969,13
0.092131717,0.088094732,0.139388108,-0.064294844,0.088094732,0.068682889,14
0.102449632,0.098373934,0.149935713,-0.023783897,-0.129262274,0.039542621,15
0.112851735,0.108746275,0.160481258,-0.011422838,-0.095415013,0.055048283,16
0.123316605,0.119189461,0.171011226,-0.000372973,-0.095415013,0.063545861,17
0.133824653,0.129683176,0.181513401,0.01069523,-0.059743832,0.079194525,18
0.144358061,0.140208936,0.191976762,0.021820513,-0.04831736,0.090009383,19
0.154900656,0.150749952,0.202391393,0.032987445,-0.037964636,0.100612962,20
0.165437774,0.161290991,0.212748393,0.044179751,-0.027480951,0.111235192,21
0.175956148,0.171818262,0.223039793,0.055382488,-0.016840777,0.121871183,22
0.186443794,0.1823193,0.233258483,0.066582032,-0.006068064,0.132507109,23
0.196889912,0.192782861,0.243398142,0.077765984,0.004813168,0.143130013,24
0.207284793,0.203198825,0.253453172,0.088923079,0.015780812,0.153728136,25
0.217619727,0.213558107,0.263418637,0.100043095,0.026814624,0.164290838,26
0.227886929,0.223852574,0.273290212,0.111116779,0.037896085,0.174808516,27
0.238079458,0.234074968,0.28306413,0.122135768,0.049008275,0.18527252,28
0.248191151,0.244218835,0.292737131,0.133092523,0.06013575,0.195675078,29
0.25821656,0.254278457,0.302306425,0.143980265,0.071264432,0.206009228,30
0.268150889,0.264248793,0.311769647,0.154792913,0.08238151,0.21626875,31
0.277989946,0.274125424,0.32112482,0.165525033,0.093475336,0.226448112,32
0.287730083,0.283904497,0.330370324,0.176171784,0.104535344,0.236542406,33
0.297368157,0.293582681,0.33950486,0.186728872,0.115551965,0.246547307,34
0.306901486,0.303157118,0.348527423,0.197192508,0.126516548,0.256459017,35
0.316327805,0.312625387,0.357437276,0.207559363,0.137421291,0.266274224,36
0.325645232,0.321985462,0.366233923,0.217826535,0.148259175,0.275990065,37
0.334852233,0.331235679,0.374917088,0.227991511,0.159023902,0.285604083,38
0.343947594,0.340374702,0.383486693,0.238052137,0.169709842,0.295114194,39
0.352930387,0.349401496,0.391942838,0.248006587,0.180311974,0.304518657,40
0.361799946,0.358315296,0.400285784,0.257853337,0.190825842,0.313816041,41
0.370555843,0.367115586,0.408515938,0.267591137,0.201247509,0.323005203,42
0.379197865,0.375802069,0.416633834,0.277218988,0.211573515,0.332085254,43
0.387725992,0.384374655,0.424640123,0.286736121,0.221800837,0.341055546,44
0.39614038,0.392833432,0.43253556,0.29614198,0.231926855,0.349915641,45
0.40444134,0.401178653,0.44032099,0.305436195,0.241949318,0.358665299,46
0.412629327,0.40941072,0.447997339,0.314618574,0.251866313,0.367304455,47
0.008934964,0.417530163,0.455565604,-0.112821961,0.261676238,0.206177001,48
0.008934964,0.425537633,0.463026845,-0.112821961,0.271377772,0.211211051,49
0.08627143,0.433433885,0.470382175,-0.030039294,0.280969857,0.248203611,50
0.08627143,0.441219767,0.477632754,0.01518447,0.290451668,0.262152018,51
0.08627143,0.448896209,0.484779781,0.110452276,0.299822598,0.286044459,52
0.046431885,0.456464212,0.49182449,0.110452276,0.309082237,0.28285102,53
0.085112686,0.463924843,0.498768141,0.194616699,0.318230353,0.312130544,54
0.165307193,0.471279221,0.505612019,0.261203202,0.327266877,0.346133703,55
0.165307193,0.040614505,0.512357426,0.439434049,0.33619189,0.298781013,56
0.197699777,0.040614505,0.519005678,0.439434049,0.345005602,0.308351922,57
0.267934076,0.094697067,0.525558102,0.497884747,0.353708348,0.347956468,58
0.426666847,0.137155296,0.53201603,0.551567126,0.36230057,0.401941174,59
0.426666847,0.228735485,0.5383808,0.697676534,0.370782809,0.452448495,60
0.477686465,0.228735485,0.54465375,0.697676534,0.379155694,0.465581586,61
0.477686465,0.295211458,0.550836215,0.729627251,0.387419934,0.488156264,62
0.554448473,0.355794859,0.556929528,0.729627251,0.395576305,0.518475283,63
0.554448473,0.514000505,0.562935016,0.761004849,0.403625649,0.559202899,64
0.393587559,0.514000505,0.568853997,0.848037887,0.411568864,0.547209762,65
0.497868867,0.563966453,0.574687781,0.848037887,0.419406893,0.580793576,66
0.497868867,0.612029997,0.580437667,0.852901309,0.427140725,0.594075713,67
0.162638366,0.738814163,0.102070574,0.870490723,0.434771385,0.461757042,68
0.357095155,0.738814163,0.102070574,0.919547678,0.442299933,0.511965501,69
0.38088698,0.766735947,0.178336275,0.919547678,0.449727452,0.539046866,70
0.480930271,0.766735947,0.218903344,0.925124165,0.457055053,0.569749756,71
0.480930271,0.766735947,0.30339611,0.925124165,0.464283863,0.588094071,72
0.521300353,0.794437185,0.30339611,0.934070708,0.471415027,0.604923877,73
0.585040565,0.869231964,0.373238384,0.959462704,0.478449703,0.653084664,74
0.666756542,0.869231964,0.427824106,0.959462704,0.485389058,0.681732875,75
0.666756542,0.872279258,0.570034816,0.96062406,0.492234266,0.712385788,76
0.726026837,0.88790118,0.570034816,0.965319839,0.498986508,0.729653836,77
0.785389163,0.930241719,0.616025164,0.978759998,0.505646964,0.763212602,78
0.835788516,0.930241719,0.658018123,0.978759998,0.512216819,0.783005035,79
0.835788516,0.934753764,0.664614763,0.980166062,0.518697254,0.786804072,80
0.872509619,0.94269817,0.775127986,0.982510627,-0.011218902,0.7123255,81
0.903977357,0.964705702,0.799083065,0.989313103,0.011590925,0.73373403,82
0.930059378,0.967777328,0.799083065,0.990233155,0.054585957,0.748347777,83
0.945711761,0.971641238,0.799083065,0.991377008,0.067228448,0.755008304,84
0.958552676,0.735725911,0.810938688,0.753721531,0.078410011,0.667469763,85
0.960006331,0.770010057,0.577304894,0.786843632,0.089511087,0.6367352,86
0.72660008,0.804712208,0.588276812,0.819734216,0.100580102,0.607980684,87
0.765600241,0.31478026,0.63126128,0.325177971,0.11160959,0.429685868,88
0.765600241,0.389736252,0.638569045,0.399926543,0.122590623,0.463284541,89
0.783464334,0.389736252,0.644073931,0.478850212,0.133515049,0.485927955,90
0.303130336,0.469469519,0.201659307,0.489965505,0.144375522,0.321720038,91
0.326294428,-0.002437309,0.25072551,0.497370652,0.155165445,0.245423745,92
0.39289616,0.021954313,0.289765149,0.504511104,0.165878908,0.275001127,93
0.404433803,0.124837625,0.30073907,0.511534256,0.176510637,0.303611078,94
0.413148622,0.141164892,-0.086687382,0.518447787,0.187055942,0.234625972,95
0.421623038,-0.198061397,-0.020198404,0.525253552,0.19751067,0.185225492,96
0.429966504,-0.150362368,0.024786082,0.531953183,0.207871164,0.208842913,97
0.438184303,-0.101794497,0.037674229,0.538548314,0.21813422,0.226149314,98
0.446277502,-0.088341033,0.049010683,0.545040587,0.228297052,0.236056958,99
0.454247121,-0.076611779,0.06027621,0.551431647,0.238357256,0.245540091,100
