,,,,,,a,b
0,0,0,0,0,,0,1
0,0,0,0,0,,0,2
0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,,0.004444444,3
0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,,0.004444444,4
0.021407267,0.021407267,0.021407267,0.021407267,0.021407267,,0.021407267,5
0.067506466,0.067506466,0.067506466,0.067506466,0.021407267,,0.058286626,6
-0.024507852,-0.024507852,-0.024507852,-0.024507852,0.067506466,,-0.006104989,7
0.01129825,0.01129825,0.01129825,0.01129825,-0.024507852,,0.004137029,8
0.083286582,0.01129825,0.083286582,0.083286582,-0.014911779,,0.049249244,9
-0.132292078,-0.004517218,-0.132292078,-0.132292078,0.044812861,,-0.071316118,10
-0.080844352,0.052768982,-0.080844352,-0.080844352,-0.136419616,,-0.065236738,11
0.009170203,0.065607203,0.009170203,0.009170203,-0.112064162,,-0.00378927,12
-0.239804316,-0.118312665,-0.239804316,0.025399787,-0.112064162,,-0.136917134,13
-0.177087903,-0.106070811,-0.177087903,-0.23471012,-0.035343532,,-0.146060054,14
-0.073852566,-0.106070811,-0.073852566,-0.169540095,-0.247047277,,-0.134072663,15
-0.306598305,-0.07690008,-0.306598305,-0.120315291,-0.23577776,,-0.209237948,16
-0.239735059,-0.229798408,-0.239735059,-0.316484688,-0.159609154,,-0.237072474,17
-0.129962611,-0.228303615,-0.129962611,-0.259840778,-0.325492056,,-0.214712334,18
-0.341892651,-0.196431865,-0.341892651,-0.182090583,-0.298363517,,-0.272134253,19
-0.274313895,-0.185220994,-0.274313895,-0.35546347,-0.208298746,,-0.2595222,20
-0.161879582,-0.309633053,-0.161879582,-0.29763731,-0.363771064,,-0.258960118,21
-0.359696126,-0.299215406,-0.359696126,-0.200892962,-0.319827463,,-0.307865617,22
-0.359696126,-0.270054153,-0.359696126,-0.371895743,-0.319827463,,-0.336233922,23
-0.29229473,-0.354651723,-0.29229473,-0.371895743,-0.216992271,,-0.305625839,24
-0.178819617,-0.354651723,-0.29229473,-0.310233699,-0.378040715,,-0.302808097,25
-0.07044203,-0.341494864,-0.29229473,-0.203404847,-0.378040715,,-0.257135437,26
-0.07044203,-0.283476871,-0.238596742,-0.093515685,-0.363936051,,-0.209993476,27
0.026415805,-0.173694452,-0.170958485,-0.093515685,-0.276979114,,-0.137746386,28
0.135400856,-0.173694452,-0.07347095,0.003960159,-0.164426126,,-0.054446102,29
0.152037743,-0.088385423,-0.07347095,0.113090859,-0.164426126,,-0.012230779,30
0.356796845,0.012271513,-0.040116252,0.326245078,-0.102210915,,0.110597254,31
0.356796845,0.242971921,-0.040116252,0.326245078,-0.102210915,,0.156737335,32
0.421461152,0.242971921,0.066520473,0.393933374,0.013097999,,0.227596984,33
0.454958404,0.317344451,0.279219004,0.46503126,0.245548919,,0.352420408,34
0.46339547,0.317344451,0.279219004,0.475611292,0.245548919,,0.356223827,35
0.638434032,0.395104997,0.298237325,0.647140088,0.266371279,,0.449057544,36
0.638434032,0.406902579,0.383690525,0.647140088,0.353005946,,0.485834634,37
0.675529141,0.598395114,0.577447024,0.683107604,0.365863957,,0.580068568,38
0.693004977,0.598395114,0.577447024,0.701568892,0.569822725,,0.628047746,39
0.804685502,0.61121583,0.607199928,0.810374917,0.569822725,,0.68065978,40
0.804685502,0.634464873,0.607199928,0.810374917,0.59919928,,0.6911849,41
0.8248074,0.765535204,0.65737888,0.829751784,0.623266758,,0.740148005,42
0.84002707,0.765535204,0.779415674,0.84497783,0.758451307,,0.797681417,43
0.90072507,0.78244697,0.779415674,0.903892548,0.758451307,,0.824986314,44
0.90072507,0.802861468,0.786191833,0.903892548,0.78068861,,0.834871906,45
0.910862582,0.876714528,0.813772971,0.913633517,0.801147511,,0.863226222,46
0.92021618,0.876714528,0.883197539,0.922773906,0.804743549,,0.88152914,47
0.951006581,0.888198007,0.883197539,0.952609279,0.878144077,,0.910631097,48
0.951006581,0.90060426,0.891563003,0.952609279,0.878144077,,0.91478544,49
0.955947107,0.938617351,0.905290841,0.95736153,0.890378458,,0.929519058,50
0.960888764,0.938617351,0.941373422,0.962150789,0.890378458,,0.938681757,51
0.976091219,0.944755367,0.941373422,0.962881011,0.890378458,,0.943095895,52
0.976091219,0.95118891,0.946762922,0.977321323,0.666122976,,0.90349747,53
0.978476834,0.970050546,0.95332,0.977321323,0.666122976,,0.909058336,54
0.980942052,0.970050546,0.971310129,0.97957361,0.711637919,,0.922702851,55
0.988373493,0.973075505,0.971310129,0.980733671,0.774169539,,0.937532467,56
0.988373493,0.973075505,0.97414095,0.988246157,0.774169539,,0.939601129,57
0.989525031,0.976233772,0.977251437,0.988246157,0.789501896,,0.944151659,58
0.990731128,0.985467192,0.977707902,0.989410491,0.837979175,,0.956259178,59
0.990912197,0.985467192,0.986357604,0.990334414,0.87491027,,0.965596336,60
0.994461522,0.98591689,0.986357604,0.994108174,0.87491027,,0.967150892,61
0.994461522,0.987575004,0.987718363,0.994108174,0.896594216,,0.972091456,62
0.995007196,0.992410436,0.988433419,0.994689752,0.924612017,,0.979030564,63
0.995291008,0.992410436,0.992929939,0.995240922,0.943621514,,0.983898764,64
0.997131007,0.992920586,0.992929939,0.997100484,0.943621514,,0.984740706,65
0.997131007,0.993750069,0.993639845,0.997100484,0.955991948,,0.987522671,66
0.997413304,0.99618627,0.994204606,0.997385792,0.955991948,,0.988236384,67
0.997638559,0.99618627,0.996461867,0.99767552,0.967688064,,0.991130056,68
0.998561624,0.996515119,0.996461867,0.99771999,0.968967555,,0.991645231,69
0.998561624,0.996515119,0.996815539,0.998611337,0.977857548,,0.993672233,70
0.998702912,0.996920902,0.997149949,0.998611337,0.977857548,,0.993848529,71
0.998837235,0.998122659,0.998261738,0.99874764,0.9793413,,0.994662115,72
0.99929188,0.998122659,0.998261738,0.998818194,0.981782941,,0.995255482,73
0.99929188,0.998177723,0.998434354,0.999280275,0.981782941,,0.995393434,74
0.999361332,0.998389472,0.998434354,0.999280275,0.626347687,,0.924362624,75
0.999431987,0.999018323,0.998609153,0.999350873,0.694575071,,0.938197082,76
0.999654124,0.999018323,0.999152292,0.999350873,0.741336449,,0.947702412,77
0.999654124,0.999082591,0.999152292,0.999407131,0.741336449,,0.947726518,78
0.999688012,0.999188851,0.999178066,0.999638976,0.773466338,,0.954232048,79
0.999688012,0.999204749,0.999271982,0.999638976,0.838918516,,0.967344447,80
0.999723372,0.999515457,0.999556368,0.999649866,0.865589808,,0.972806974,81
0.999831568,0.999556571,0.999585666,0.999686051,0.89725669,,0.979183309,82
0.999836644,0.999581816,0.999633319,0.999808828,0.931869585,,0.986146038,83
0.999855324,0.760927601,0.760971662,0.99982137,0.706500587,,0.845615309,84
0.761162408,0.793557839,0.790730031,0.99982137,0.75001169,,0.819056668,85
0.784148323,0.817823624,0.82359403,0.99982137,0.793395792,,0.843756628,86
0.818736253,0.324687604,0.327974713,0.999841115,0.79887208,,0.654022353,87
0.325178891,0.399813352,0.400202191,0.76115025,0.31451755,,0.440172447,88
0.391030639,0.47079859,0.400202191,0.768537917,0.389036379,,0.483921143,89
0.471633018,0.481545571,0.491167751,0.806629997,0.427995722,,0.535794412,90
0.000125897,0.004768919,0.337903829,0.811488691,-0.017451683,,0.227367131,91
0.080469337,0.089380127,0.456767997,0.81470945,0.064684948,,0.301202372,92
0.182780155,0.137179809,0.023910509,0.32289679,0.14086447,,0.161526347,93
0.198500149,-0.197402205,0.052528938,0.368939951,-0.197304411,,0.045052485,94
-0.176844945,-0.123315538,-0.054026435,0.404739451,-0.122560651,,-0.014401624,95
-0.098309455,-0.04390867,-0.048435615,-0.026650895,-0.122560651,,-0.067973057,96
-0.046460156,-0.293066215,0.009091574,0.041108029,-0.025732958,,-0.063011945,97
-0.291953632,-0.226414698,-0.191605848,0.113358789,-0.288660658,,-0.177055209,98
-0.227365399,-0.128894237,-0.186296682,-0.205780606,-0.270339764,,-0.203735338,99
-0.147149085,-0.110954002,-0.125074966,-0.139206309,-0.179813184,,-0.140439509,100
