,,,,,,a,b,,,,,,,,,,,
0,0,0,0,0,,0,1,,,,,,,,,,,
0,0,0,0,0,,0,2,,,,,,,,,,,
0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,,0.004444444,3,,,,,,,,,,,
0.004444444,0.008507758,0.004444444,0.004444444,0.004444444,,0.005257107,4,,,,,,,,,,,
0.021407267,0.008507758,0.021407267,0.021407267,0.021407267,,0.018827365,5,,,,,,,,,,,
0.067506466,0.028599161,0.067506466,0.067506466,0.067506466,,0.059725005,6,,,,,,,,,,,
-0.024507852,0.062009545,0.079212277,-0.024507852,-0.024507852,,0.013539653,7,,,,,,,,,,,
0.01129825,-0.024974071,-0.021243555,0.01129825,0.01129825,,-0.002464575,8,,,,,,,,,,,
0.01129825,0.008724133,0.018160118,0.083286582,0.01129825,,0.026553467,9,,,,,,,,,,,
0.01129825,0.069225863,0.056224814,0.097329425,0.083286582,,0.063472987,10,,,,,,,,,,,
0.083286582,0.082274582,-0.134613341,0.107882742,-0.132292078,,0.001307697,11,,,,,,,,,,,
-0.132292078,-0.130246516,-0.091894406,-0.125953361,-0.119055825,,-0.119888437,12,,,,,,,,,,,
-0.122546535,-0.08013187,-0.026356369,-0.069281545,-0.043850089,,-0.068433282,13,,,,,,,,,,,
-0.049438278,-0.038261554,-0.24469063,-0.029038732,-0.250430247,,-0.122371888,14,,,,,,,,,,,
-0.251380426,-0.026038949,-0.191622489,-0.016745798,-0.220051706,,-0.141167874,15,,,,,,,,,,,
-0.224723624,-0.243620243,-0.102141081,-0.243428479,-0.131136477,,-0.189009981,16,,,,,,,,,,,
-0.224723624,-0.191106058,-0.085140728,-0.187621705,-0.113668,,-0.160452023,17,,,,,,,,,,,
-0.138363093,-0.148590829,-0.072824263,-0.144491555,-0.101474676,,-0.121148883,18,,,,,,,,,,,
-0.121035999,-0.135669381,-0.0606829,-0.131428259,-0.089442406,,-0.107651789,19,,,,,,,,,,,
-0.31813676,-0.124133162,-0.04853545,-0.119776158,-0.077365172,,-0.13758934,20,,,,,,,,,,,
-0.305492838,-0.11252134,-0.03638768,-0.108064089,-0.065250898,,-0.125543369,21,,,,,,,,,,,
-0.26957524,-0.312105786,-0.024252151,-0.096250593,-0.053115257,,-0.151059805,22,,,,,,,,,,,
-0.257895019,-0.312105786,-0.012140626,-0.084354505,-0.040972941,,-0.141493775,23,,,,,,,,,,,
-0.247361097,-0.255560838,-6.38E-05,-0.072395552,-0.028837387,,-0.120843741,24,,,,,,,,,,,
-0.236551452,-0.212795675,0.011968485,-0.060391926,-0.016720857,,-0.102898285,25,,,,,,,,,,,
-0.225440945,-0.105073456,0.023947478,-0.048360292,-0.00463452,,-0.071912347,26,,,,,,,,,,,
-0.214064183,-0.105073456,0.035865135,-0.036315896,0.007411464,,-0.062435387,27,,,,,,,,,,,
-0.202455638,-0.013323531,0.047714218,-0.024272671,0.019407867,,-0.034585951,28,,,,,,,,,,,
-0.190647207,0.064314162,0.0594882,-0.012243332,0.031346328,,-0.00954837,29,,,,,,,,,,,
-0.178668284,0.284119262,-0.254731468,-0.000239469,0.043219281,,-0.021260136,30,,,,,,,,,,,
-0.166545938,0.284119262,-0.254731468,0.011728372,0.055019899,,-0.014081975,31,,,,,,,,,,,
-0.154305077,0.356767123,-0.176894617,0.02365061,0.06674204,,0.023192016,32,,,,,,,,,,,
-0.141968605,0.424430845,-0.176894617,0.035518555,0.078380186,,0.043893273,33,,,,,,,,,,,
-0.129557568,0.610011673,-0.130320608,0.047324341,0.089929404,,0.097477449,34,,,,,,,,,,,
-0.117091283,0.610011673,-0.026855799,0.059060868,0.101385297,,0.125302151,35,,,,,,,,,,,
-0.104587471,0.651264347,-0.026855799,0.070721736,0.112743961,,0.140657355,36,,,,,,,,,,,
-0.092062366,0.691794948,0.000424205,0.082301198,0.124001948,,0.161291987,37,,,,,,,,,,,
-0.079530828,0.697882936,0.076833147,0.093794107,0.13515623,,0.184827118,38,,,,,,,,,,,
-0.067006442,0.807508675,0.091647978,0.105195869,0.146204166,,0.216710049,39,,,,,,,,,,,
-0.054501612,0.807508675,0.304289208,0.116502401,0.157143469,,0.266188428,40,,,,,,,,,,,
-0.042027647,0.827607879,0.304289208,0.127710091,0.167972181,,0.277110343,41,,,,,,,,,,,
-0.029594844,0.837736446,0.35166646,0.138815762,0.178688641,,0.295462493,42,,,,,,,,,,,
-0.017212562,0.899086002,0.35166646,0.149816633,0.189291467,,0.3145296,43,,,,,,,,,,,
-0.004889293,0.899086002,0.388022163,0.160710293,0.199779529,,0.328541739,44,,,,,,,,,,,
0.007367275,0.909575997,0.581811825,0.171494667,0.210151928,,0.376080339,45,,,,,,,,,,,
0.019550197,0.917730682,0.581811825,0.182167993,0.220407977,,0.384333735,46,,,,,,,,,,,
0.031653212,0.949382908,0.594559714,0.192728791,-0.184879299,,0.316689065,47,,,,,,,,,,,
0.043670695,0.949382908,0.632839893,0.203175844,-0.184879299,,0.328838008,48,,,,,,,,,,,
0.055597606,0.954571569,0.762661026,0.213508173,-0.112828711,,0.374701933,49,,,,,,,,,,,
0.067429446,0.959410242,0.762661026,0.22372502,-0.06675459,,0.389294229,50,,,,,,,,,,,
0.079162214,0.97515319,0.780165241,0.233825827,0.031038717,,0.419869038,51,,,,,,,,,,,
0.09079237,0.97515319,0.80562024,0.243810219,0.031038717,,0.429282947,52,,,,,,,,,,,
0.102316799,0.977662643,0.877805498,0.253677991,0.115518041,,0.465396194,53,,,,,,,,,,,
0.113732775,0.98018262,0.877805498,0.263429086,0.186910836,,0.484412163,54,,,,,,,,,,,
0.125037933,0.980566038,0.889513496,0.273063589,0.379968888,,0.529629989,55,,,,,,,,,,,
0.136230239,0.988135056,0.902984742,0.282581712,0.379968888,,0.537980127,56,,,,,,,,,,,
0.147307964,0.988135056,0.939890723,0.29198378,0.442860931,,0.562035691,57,,,,,,,,,,,
0.158269659,0.989318319,0.939890723,0.301270221,0.502013431,,0.578152471,58,,,,,,,,,,,
0.16911413,0.989926623,0.946038988,0.31044156,0.663305052,,0.615765271,59,,,,,,,,,,,
0.17984042,0.993854893,0.952600291,0.319498403,0.663305052,,0.621819812,60,,,,,,,,,,,
0.19044779,0.993854893,0.970857219,0.328441436,0.698613483,,0.636442964,61,,,,,,,,,,,
0.200935695,0.994465692,0.970857219,0.33727141,0.698613483,,0.6404287,62,,,,,,,,,,,
0.211303774,0.994949648,0.973848022,0.345989139,0.73355773,,0.651929662,63,,,,,,,,,,,
0.22155183,0.996921138,0.976980666,0.354595492,0.738811979,,0.657772221,64,,,,,,,,,,,
0.231679818,0.996921138,0.985906163,0.363091385,0.833789347,,0.68227757,65,,,,,,,,,,,
0.241687829,0.997225787,0.985906163,0.371477779,0.833789347,,0.686017381,66,,,,,,,,,,,
0.251576081,0.997514202,0.987336196,0.379755671,0.8390861,,0.69105365,67,,,,,,,,,,,
0.261344904,0.998485326,0.988832205,0.387926091,0.848623941,,0.697042493,68,,,,,,,,,,,
0.270994733,0.998485326,0.993178391,0.395990098,0.905729592,,0.712875628,69,,,,,,,,,,,
0.280526096,0.998634604,0.993178391,0.403948777,0.905729592,,0.716403492,70,,,,,,,,,,,
0.289939605,0.998634604,0.993862486,0.411803232,0.912357541,,0.721319494,71,,,,,,,,,,,
0.299235948,0.998786091,0.99458021,0.419554586,0.92038547,,0.726508461,72,,,,,,,,,,,
0.308415882,0.999260573,0.996693888,0.427203976,0.921807683,,0.7306764,73,,,,,,,,,,,
0.317480225,0.999260573,0.996693888,0.43475255,0.951809849,,0.739999417,74,,,,,,,,,,,
0.326429852,0.99928294,0.99702252,0.442201467,0.951809849,,0.743349325,75,,,,,,,,,,,
0.335265683,0.999364457,0.997368359,0.449551892,0.956140071,,0.747538092,76,,,,,,,,,,,
0.343988684,0.99961291,0.997420028,0.456804994,0.958623946,,0.751290112,77,,,,,,,,,,,
0.35259986,0.99961291,0.998427548,0.463961946,0.974601,,0.757840653,78,,,,,,,,,,,
0.361100246,0.999638361,0.998427548,0.471023921,0.974601,,0.760958215,79,,,,,,,,,,,
0.369490911,0.999679802,0.998582821,0.477992093,0.977092159,,0.764567557,80,,,,,,,,,,,
0.377772945,0.999805002,0.998663611,0.484867632,0.97912122,,0.768046082,81,,,,,,,,,,,
0.385947462,0.999821539,0.999185668,0.491651707,0.987219481,,0.772765172,82,,,,,,,,,,,
0.394015595,0.999842036,0.999265955,0.498345481,0.98849877,,0.775993567,83,,,,,,,,,,,
0.401978489,0.761151046,0.999329999,0.50495011,0.989712863,,0.731424502,84,,,,,,,,,,,
0.409837305,0.793812629,0.999341535,0.511466748,0.752294367,,0.693350517,85,,,,,,,,,,,
0.417593212,0.825944625,0.760719851,0.517896537,0.787229866,,0.661876818,86,,,,,,,,,,,
0.425247388,0.329346389,0.795207561,0.524240613,0.818480234,,0.578504437,87,,,,,,,,,,,
0.432801014,0.404020633,0.8101053,0.530500103,0.324366421,,0.500358694,88,,,,,,,,,,,
0.440255277,0.404020633,0.813793859,-0.036098027,0.400565031,,0.404507355,89,,,,,,,,,,,
0.447611366,0.48259925,0.322395389,0.049495636,0.47808549,,0.356037426,90,,,,,,,,,,,
0.454870467,0.004978541,0.39933869,0.093256009,0.002484925,,0.190985726,91,,,,,,,,,,,
0.462033767,0.02941571,0.434499522,0.105924979,0.087748678,,0.223924531,92,,,,,,,,,,,
0.469102451,0.132143866,-0.015227858,0.117073878,0.18920647,,0.178459761,93,,,,,,,,,,,
0.476077698,-0.2001389,0.068750299,0.128095601,-0.180836404,,0.058389659,94,,,,,,,,,,,
0.482960684,-0.153431226,0.142290638,0.139043093,-0.101027133,,0.101967211,95,,,,,,,,,,,
0.489752578,-0.049425574,0.1563095,0.14991304,0.008556112,,0.151021131,96,,,,,,,,,,,
0.496454543,-0.031401078,-0.191871534,0.160700342,0.026458856,,0.092068226,97,,,,,,,,,,,
0.503067732,-0.019130921,-0.115162256,0.171400375,0.038582976,,0.115751581,98,,,,,,,,,,,
0.509593294,-0.007125675,-0.115162256,0.182009036,0.050395155,,0.123941911,99,,,,,,,,,,,
0.516032365,0.004841775,-0.104163588,0.192522707,0.062124327,,0.134271517,100,,,,,,,,,,,
