,,,,,,a,b
0,0,0,0,0,,0,1
0,0,0,0,0,,0,2
0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,,0.033333333,3
0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,,0.033333333,4
0.075362319,0.075362319,0.075362319,0.075362319,0.075362319,,0.075362319,5
0.13968494,0.075362319,0.13968494,0.13968494,0.075362319,,0.113955892,6
0.153426083,0.13968494,-0.058521136,-0.058521136,0.13968494,,0.063150738,7
0.164564196,-0.058521136,0.019168488,0.019168488,-0.058521136,,0.01717178,8
-0.037968707,-0.031135325,0.111852567,0.111852567,-0.031135325,,0.024693155,9
0.038212482,0.066302233,0.127606525,0.127606525,0.066302233,,0.085205999,10
0.086110477,0.082864162,0.139151389,0.139151389,0.082864162,,0.106028316,11
0.09963961,0.095001128,0.150376197,0.150376197,0.095001128,,0.118078852,12
0.111440029,0.106801621,0.161447629,-0.187348925,0.106801621,,0.059828395,13
0.123021368,0.118440873,0.172374496,-0.08273221,0.118440873,,0.08990908,14
0.134449059,0.129928144,0.183158966,-0.028954624,-0.209908741,,0.041734561,15
0.145727726,0.141265717,0.193802907,-0.01372955,-0.13395872,,0.066621616,16
0.15685942,0.152455553,0.204308152,-0.000443595,-0.13395872,,0.075844162,17
0.16784606,0.163499579,0.214676506,0.012596004,-0.077647372,,0.096194155,18
0.178689538,0.174399694,0.224909754,0.02546262,-0.061702359,,0.108351849,19
0.189391719,0.185157774,0.235009657,0.038161447,-0.047787695,,0.119986581,20
0.199954444,0.19577567,0.244977952,0.050694796,-0.034131023,,0.131454368,21
0.21037953,0.206255208,0.254816354,0.063064827,-0.020655518,,0.14277208,22
0.22066877,0.216598191,0.264526556,0.075273669,-0.007355743,,0.153942288,23
0.230823936,0.226806398,0.274110227,0.087323422,0.005770723,,0.164966941,24
0.240846773,0.236881587,0.283569018,0.099216159,0.018726142,,0.175847936,25
0.250739007,0.246825489,0.292904554,0.110953927,0.031512744,,0.186587144,26
0.260502339,0.256639817,0.302118443,0.122538745,0.044132729,,0.197186415,27
0.270138449,0.266326258,0.311212269,0.133972605,0.056588268,,0.20764757,28
0.279648994,0.275886478,0.320187598,0.145257475,0.068881503,,0.217972409,29
0.289035611,0.285322123,0.329045972,0.156395296,0.081014551,,0.22816271,30
0.298299914,0.294634815,0.337788915,0.167387984,0.092989496,,0.238220225,31
0.307443498,0.303826158,0.346417933,0.178237431,0.104808402,,0.248146684,32
0.316467936,0.312897731,0.35493451,0.188945503,0.116473299,,0.257943796,33
0.325374779,0.321851097,0.36334011,0.199514043,0.127986196,,0.267613245,34
0.334165561,0.330687794,0.37163618,0.209944867,0.139349072,,0.277156695,35
0.342841794,0.339409344,0.379824148,0.220239772,0.150563883,,0.286575788,36
0.351404969,0.348017247,0.387905421,0.230400527,0.161632559,,0.295872145,37
0.359856562,0.356512984,0.39588139,0.240428882,0.172557003,,0.305047364,38
0.368198025,0.364898016,0.403753427,0.250326561,0.183339094,,0.314103025,39
0.376430793,0.373173785,0.411522887,0.260095268,0.193980688,,0.323040684,40
0.384556284,0.381341717,0.419191106,0.269736682,0.204483616,,0.331861881,41
0.392575894,0.389403215,0.426759403,0.279252462,0.214849684,,0.340568132,42
0.400491004,0.397359667,0.434229081,0.288644246,0.225080676,,0.349160935,43
0.408302975,0.405212441,0.441601424,0.297913649,0.235178352,,0.357641768,44
0.416013152,0.412962889,0.448877701,0.307062267,0.245144448,,0.366012091,45
0.42362286,0.420612344,0.456059164,0.316091672,0.254980681,,0.374273344,46
0.431133409,0.428162122,0.463147048,0.325003418,0.264688741,,0.382426947,47
0.010984151,0.435613521,0.470142572,-0.141978112,0.274270299,,0.209806486,48
0.010984151,0.442967824,0.477046941,-0.141978112,0.283727004,,0.214549562,49
0.098125838,0.450226296,0.483861341,-0.034449163,0.293060482,,0.258164959,50
0.098125838,0.457390186,0.490586945,0.016920204,0.302272339,,0.273059102,51
0.098125838,0.464460726,0.497224911,0.122700754,0.31136416,,0.298775278,52
0.068585928,0.471439132,0.50377638,0.122700754,0.320337508,,0.297367941,53
0.11483871,0.478326606,0.510242479,0.207327287,0.329193929,,0.327985802,54
0.220735769,0.485124331,0.516624321,0.272418598,0.337934945,,0.366567593,55
0.220735769,0.049124527,0.522923003,0.457057167,0.34656206,,0.319280505,56
0.250943014,0.049124527,0.52913961,0.457057167,0.355076759,,0.328268216,57
0.312452765,0.108814163,0.535275211,0.50989229,0.363480505,,0.365982987,58
0.492214166,0.153069264,0.541330861,0.559416227,0.371774746,,0.423561053,59
0.492214166,0.254392577,0.547307602,0.706763939,0.379960908,,0.476127838,60
0.528122283,0.254392577,0.553206463,0.706763939,0.388040399,,0.486105132,61
0.528122283,0.316496991,0.559028457,0.73539045,0.396014609,,0.507010558,62
0.610187973,0.372623695,0.564774588,0.73539045,0.40388491,,0.537372323,63
0.610187973,0.536653216,0.570445843,0.764370891,0.411652657,,0.578662116,64
0.565371508,0.536653216,0.576043198,0.85144098,0.419319185,,0.589765617,65
0.692968864,0.579398514,0.581567616,0.85144098,0.426885813,,0.626452357,66
0.692968864,0.621899051,0.587020048,0.85591057,0.434353844,,0.638430475,67
0.584544558,0.749706028,0.121105905,0.872172821,0.441724561,,0.553850775,68
0.626525103,0.749706028,0.121105905,0.921154055,0.448999234,,0.573498065,69
0.633348028,0.773671144,0.19854482,0.921154055,0.456179113,,0.596579432,70
0.757284982,0.773671144,0.238344016,0.926316478,0.463265434,,0.631776411,71
0.757284982,0.773671144,0.329465409,0.926316478,0.470259415,,0.651399486,72
0.764995329,0.798459025,0.329465409,0.934724674,0.477162261,,0.660961339,73
0.778003817,0.873222479,0.392603116,0.960069201,0.483975159,,0.697574754,74
0.860355317,0.873222479,0.44248027,0.960069201,0.49069928,,0.725365309,75
0.860355317,0.875939086,0.588245568,0.961164621,0.497335782,,0.756608075,76
0.869644862,0.889940874,0.588245568,0.965614026,0.503885806,,0.763466227,77
0.880848249,0.932173252,0.627964456,0.97902918,0.510350479,,0.786073123,78
0.926569689,0.932173252,0.665557548,0.97902918,0.516730914,,0.804012117,79
0.926569689,0.93622963,0.671667399,0.980366837,0.523028207,,0.807572353,80
0.93281423,0.943506613,0.782651508,0.982619506,-0.013744779,,0.725569416,81
0.939726756,0.965452609,0.803802233,0.989412022,0.013860646,,0.742450853,82
0.963141114,0.968281101,0.803802233,0.990298987,0.062831012,,0.757670889,83
0.966567253,0.971915164,0.803802233,0.99141265,0.076697467,,0.762078953,84
0.970253826,0.774681189,0.814662598,0.793221229,0.088798263,,0.688323421,85
0.970821145,0.79533786,0.613983366,0.812336973,0.100674699,,0.658630809,86
0.773696594,0.818820371,0.622261203,0.833884558,0.112393583,,0.632211262,87
0.795424253,0.366265081,0.654726007,0.378184106,0.123959646,,0.463711819,88
0.795424253,0.426805849,0.660626743,0.437766688,0.135374992,,0.491199705,89
0.80691928,0.426805849,0.665108249,0.502327154,0.146641588,,0.509560424,90
0.357325195,0.492607737,0.2393447,0.512029731,0.157761373,,0.351813747,91
0.3765676,-0.003081766,0.284844046,0.518525087,0.168736261,,0.269118246,92
0.430485721,0.026908431,0.320498689,0.524804736,0.179568139,,0.296453143,93
0.440241266,0.138639406,0.330560001,0.530997063,0.190258871,,0.326139321,94
0.447633982,0.155431748,-0.115632714,0.53710847,0.200810296,,0.245070357,95
0.454835789,-0.270435235,-0.024286793,0.543140232,0.21122423,,0.182895645,96
0.461939787,-0.187404135,0.028607015,0.549093396,0.221502463,,0.214747705,97
0.46895105,-0.120166396,0.04308595,0.554968987,0.231646765,,0.235697271,98
0.475870945,-0.103153848,0.055631748,0.560768015,0.241658881,,0.246155148,99
0.482700669,-0.088677357,0.067940658,0.566491478,0.251540532,,0.255999196,100
