,,,,,,,,,,,,,,,,a,b,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,4,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,5,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,6,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,7,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,8,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,9,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,10,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,11,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,12,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,13,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,14,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,15,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,16,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,17,,b
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,18,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,19,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,20,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,21,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,22,,
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,23,,
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,24,,
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,25,,
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,26,,
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,27,,
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,28,,
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,29,,
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,30,,
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,31,,
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,2,32,,
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,2,33,,
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,,3,34,,
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,,3,35,,
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,,3,36,,
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,,3,37,,
0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,,4,38,,
0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,,5,39,,
0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,,6,40,,
0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,,7,41,,
0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,,9,42,,
0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,,10,43,,
0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,,11,44,,
0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,,11,45,,
0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,,11,46,,
0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,,12,47,,
0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,,12,48,,
0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,,12,49,,
0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,,12,50,,
