,,,,,,,,,,,,,,,,a,b
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,17
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,2,18
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,2,19
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,2,20
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,2,21
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,,3,22
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,,3,23
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,,3,24
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,,3,25
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,,3,26
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,,3,27
0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,,4,28
0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,,4,29
0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,,5,30
0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,,5,31
0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,,6,32
0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,,6,33
0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,,7,34
0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,,9,35
0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,,10,36
0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,,10,37
0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,,10,38
1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,,11,39
1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,,11,40
1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,,11,41
1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,,11,42
1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,,11,43
1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,,12,44
1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,,12,45
1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,,12,46
1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,,13,47
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,14,48
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,14,49
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,14,50
